TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3	100	-1.02	-1.01995	1.44604e-05
0.35	100	-1.01984	-1.01964	5.50059e-05
0.40	100	-1.0166	-1.01769	0.000245062
0.45	100	-1.01362	-1.01336	0.000315689
0.50	100	-0.996649	-1.00307	0.000442568
0.55	100	-0.987998	-0.986274	0.000484273
0.60	100	-0.964607	-0.964349	0.000554279
0.65	100	-0.932107	-0.93833	0.000520007
0.70	100	-0.911853	-0.911791	0.000460514
0.75	100	-0.886237	-0.886024	0.000379203
0.80	100	-0.862131	-0.861059	0.000320006
0.85	100	-0.836252	-0.836228	0.000325293
0.90	100	-0.812336	-0.81264	0.00028972
0.95	100	-0.790227	-0.789759	0.000249909
1.00	100	-0.764973	-0.767396	0.000222639
1.05	100	-0.743877	-0.745828	0.000226438
1.10	100	-0.723889	-0.724744	0.000207673
1.15	100	-0.70382	-0.704567	0.000189107
1.20	100	-0.684912	-0.685132	0.000194841
1.25	100	-0.665271	-0.666527	0.000189687
1.30	100	-0.648336	-0.64869	0.000169872
1.35	100	-0.63304	-0.631583	0.000167619
1.40	100	-0.615706	-0.615151	0.000149418
1.45	100	-0.600362	-0.599424	0.000146761
1.50	100	-0.586172	-0.584258	0.000142783
1.55	100	-0.570963	-0.569807	0.000134223
1.60	100	-0.556584	-0.555894	0.00013734
1.65	100	-0.542987	-0.542569	0.000127191
1.70	100	-0.529598	-0.529748	0.000123938
1.75	100	-0.516909	-0.51743	0.0001227
1.80	100	-0.504849	-0.505666	0.000124976
1.85	100	-0.494019	-0.494327	0.000126269
1.90	100	-0.48308	-0.483437	0.000122211
1.95	100	-0.472908	-0.473008	0.00012426
2.00	100	-0.462558	-0.462959	0.00012869
2.05	100	-0.453318	-0.453204	0.000128479
2.10	100	-0.443617	-0.443927	0.000123743
2.15	100	-0.435037	-0.434978	0.000122673
2.20	100	-0.42642	-0.426327	0.000127802
2.25	100	-0.418609	-0.418016	0.000123576
2.30	100	-0.410894	-0.409919	0.00011949
2.35	100	-0.403402	-0.402143	0.000124059
2.40	100	-0.39636	-0.394698	0.000124077
2.45	100	-0.389092	-0.387455	0.000126063
2.50	100	-0.381745	-0.380454	0.00012672
2.55	100	-0.37473	-0.373722	0.000127933
2.60	100	-0.368023	-0.367171	0.000126379
2.65	100	-0.36156	-0.360899	0.000126991
2.70	100	-0.355297	-0.354786	0.000127226
2.75	100	-0.349148	-0.348834	0.000129033
2.80	100	-0.343304	-0.343073	0.000129962
2.85	100	-0.337674	-0.337551	0.000130066
2.90	100	-0.332112	-0.332158	0.000131123
2.95	100	-0.326915	-0.326941	0.000130416
3.00	100	-0.321686	-0.321878	0.000131426
