TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3	100	-8166.67	-8164.43	0.78539
0.35	100	-6996.63	-6986.21	3.0615
0.40	100	-6004.56	-6049.37	7.02431
0.45	100	-5245.98	-5239.16	9.93077
0.50	100	-4198.35	-4403.14	15.0768
0.55	100	-3672.56	-3548.76	16.5129
0.60	100	-2829.98	-2755.69	17.1127
0.65	100	-1953.26	-2040.12	14.1013
0.70	100	-1562.15	-1504.1	11.2213
0.75	100	-1166.47	-1130.57	8.4667
0.80	100	-911.143	-864.73	5.72627
0.85	100	-689.338	-674.444	4.93316
0.90	100	-529.833	-539.323	3.41446
0.95	100	-438.464	-435.811	2.48541
1.00	100	-357.126	-360.24	1.87517
1.05	100	-292.698	-303.096	1.51959
1.10	100	-252.008	-256.855	1.13151
1.15	100	-208.523	-221.392	0.983786
1.20	100	-194.498	-192.223	0.834718
1.25	100	-168.383	-168.633	0.665941
1.30	100	-149.293	-149.218	0.538565
1.35	100	-133.941	-132.959	0.480732
1.40	100	-119.433	-118.852	0.438813
1.45	100	-109.542	-107.146	0.381803
1.50	100	-101.604	-96.8984	0.328975
1.55	100	-90.5877	-88.0634	0.293233
1.60	100	-79.9731	-80.5754	0.236143
1.65	100	-72.7707	-73.8728	0.221132
1.70	100	-65.6042	-68.0526	0.200966
1.75	100	-60.7681	-62.8127	0.179074
1.80	100	-56.3069	-58.1571	0.16169
1.85	100	-52.4245	-54.0671	0.153646
1.90	100	-48.7684	-50.3597	0.136455
1.95	100	-46.0138	-47.0169	0.134161
2.00	100	-42.7882	-43.9058	0.124426
2.05	100	-40.8416	-41.0513	0.115932
2.10	100	-38.1871	-38.6199	0.110536
2.15	100	-35.9482	-36.3157	0.102857
2.20	100	-34.3627	-34.2398	0.0969793
2.25	100	-32.6906	-32.3252	0.0902098
2.30	100	-30.7907	-30.5502	0.0888938
2.35	100	-29.1794	-28.9407	0.0839841
2.40	100	-27.793	-27.4789	0.0825729
2.45	100	-26.3962	-26.0806	0.0796146
2.50	100	-25.1862	-24.8504	0.0758495
2.55	100	-23.7813	-23.6361	0.0693317
2.60	100	-22.3995	-22.5236	0.069793
2.65	100	-21.4136	-21.4844	0.0674355
2.70	100	-20.3931	-20.5152	0.0639512
2.75	100	-19.5854	-19.616	0.0608218
2.80	100	-18.7189	-18.795	0.0597536
2.85	100	-17.972	-17.9912	0.0575174
2.90	100	-17.2408	-17.2828	0.0545088
2.95	100	-16.4681	-16.5869	0.0516771
3.00	100	-15.8009	-15.942	0.04918
