#BLOCK:	ACTUAL_CV:	CV_AVE:	ERROR:
1	0.3418	0.3418	0
2	0	0.1709	0.120844
3	0	0.113933	0.093026
4	0	0.0854499	0.0740018
5	0	0.0683599	0.061143
6	0	0.0569666	0.0520031
7	0	0.0488285	0.0452064
8	0	0.0427249	0.0399655
9	0	0.0379777	0.0358057
10	0	0.03418	0.0324259
11	0	0.0310727	0.0296266
12	0	0.0284833	0.0272707
13	0	0.0262923	0.0252608
14	0	0.0244143	0.0235262
15	0	0.0227866	0.022014
16	0	0.0213625	0.0206841
17	0	0.0201059	0.0195055
18	0	0.0189889	0.0184539
19	0	0.0179894	0.0175096
20	0	0.01709	0.0166572
21	0	0.0162762	0.0158839
22	0	0.0155363	0.0151791
23	0	0.0148608	0.0145342
24	0	0.0142416	0.0139418
25	0	0.013672	0.0133957
26	0	0.0131461	0.0128908
27	0	0.0126592	0.0124226
28	0	0.0122071	0.0119872
29	0	0.0117862	0.0115812
30	0	0.0113933	0.0112018
31	0	0.0110258	0.0108465
32	0	0.0106812	0.010513
33	0	0.0103576	0.0101994
34	0	0.0100529	0.00990399
35	0	0.0097657	0.00962518
36	0	0.00949443	0.00936163
37	0	0.00923782	0.00911213
38	0	0.00899472	0.00887558
39	0	0.00876409	0.008651
40	0	0.00854499	0.0084375
41	0	0.00833657	0.00823428
42	0	0.00813808	0.00804062
43	0	0.00794883	0.00785585
44	0	0.00776817	0.00767939
45	0	0.00759554	0.00751068
46	0	0.00743042	0.00734921
47	0	0.00727233	0.00719455
48	0	0.00712082	0.00704626
49	0	0.0069755	0.00690395
50	0	0.00683599	0.00676728
51	0	0.00670195	0.00663592
52	0	0.00657307	0.00650956
53	0	0.00644905	0.00638792
54	0	0.00632962	0.00627074
55	0	0.00621454	0.00615778
56	0	0.00610356	0.00604882
57	0	0.00599648	0.00594365
58	0	0.00589309	0.00584207
59	0	0.00579321	0.00574391
60	0	0.00569666	0.00564899
61	0	0.00560327	0.00555715
62	0	0.0055129	0.00546826
63	0	0.00542539	0.00538216
64	0	0.00534062	0.00529873
65	0	0.00525845	0.00521785
66	0	0.00517878	0.0051394
67	0	0.00510149	0.00506327
68	0	0.00502646	0.00498937
69	0	0.00495362	0.00491759
70	0	0.00488285	0.00484785
71	0	0.00481408	0.00478006
72	0	0.00474722	0.00471413
73	0	0.00468218	0.00465
74	0	0.00461891	0.0045876
75	0	0.00455733	0.00452684
76	0	0.00449736	0.00446768
77	0	0.00443895	0.00441004
78	0	0.00438204	0.00435386
79	0	0.00432658	0.00429911
80	0	0.00427249	0.00424571
81	0	0.00421975	0.00419362
82	0	0.00416829	0.00414279
83	0	0.00411807	0.00409318
84	0	0.00406904	0.00404475
85	0	0.00402117	0.00399745
86	0	0.00397441	0.00395124
87	0	0.00392873	0.00390609
88	0	0.00388409	0.00386195
89	0	0.00384044	0.00381881
90	0	0.00379777	0.00377661
91	0	0.00375604	0.00373534
92	0	0.00371521	0.00369497
93	0	0.00367526	0.00365545
94	0	0.00363616	0.00361677
95	0	0.00359789	0.0035789
96	0	0.00356041	0.00354182
97	0	0.00352371	0.0035055
98	0	0.00348775	0.00346991
99	0	0.00345252	0.00343504
100	0	0.003418	0.00340086
