#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	242.28	242.28	0
2	250	246.14	2.72961
3	250	247.427	2.10125
4	250	248.07	1.67154
5	250	248.456	1.38109
6	250	248.713	1.17464
7	250	248.897	1.02111
8	250	249.035	0.902733
9	250	249.142	0.808773
10	250	249.228	0.732431
11	250	249.298	0.669201
12	250	249.357	0.615985
13	250	249.406	0.570586
14	250	249.449	0.531404
15	250	249.485	0.497247
16	250	249.517	0.467209
17	250	249.546	0.440587
18	250	249.571	0.416832
19	250	249.594	0.395504
20	250	249.614	0.376251
21	250	249.632	0.358783
22	250	249.649	0.342863
23	250	249.664	0.328296
24	250	249.678	0.314914
25	250	249.691	0.302581
26	250	249.703	0.291176
27	250	249.714	0.280599
28	250	249.724	0.270764
29	250	249.734	0.261594
30	250	249.743	0.253024
31	250	249.751	0.244999
32	250	249.759	0.237466
33	250	249.766	0.230383
34	250	249.773	0.223709
35	250	249.779	0.217412
36	250	249.786	0.211459
37	250	249.791	0.205823
38	250	249.797	0.20048
39	250	249.802	0.195407
40	250	249.807	0.190585
41	250	249.812	0.185994
42	250	249.816	0.18162
43	250	249.82	0.177446
44	250	249.825	0.173461
45	250	249.828	0.16965
46	250	249.832	0.166003
47	250	249.836	0.162509
48	250	249.839	0.159159
49	250	249.842	0.155945
50	250	249.846	0.152858
51	250	249.849	0.149891
52	250	249.852	0.147037
53	250	249.854	0.144289
54	250	249.857	0.141642
55	250	249.86	0.139091
56	250	249.862	0.13663
57	250	249.865	0.134254
58	250	249.867	0.13196
59	250	249.869	0.129742
60	250	249.871	0.127598
61	250	249.873	0.125524
62	250	249.875	0.123516
63	250	249.877	0.121571
64	250	249.879	0.119687
65	250	249.881	0.11786
66	250	249.883	0.116088
67	250	249.885	0.114368
68	250	249.886	0.112699
69	250	249.888	0.111078
70	250	249.89	0.109502
71	250	249.891	0.107971
72	250	249.893	0.106482
73	250	249.894	0.105033
74	250	249.896	0.103624
75	250	249.897	0.102251
76	250	249.898	0.100915
77	250	249.9	0.099613
78	250	249.901	0.0983442
79	250	249.902	0.0971073
80	250	249.903	0.0959012
81	250	249.905	0.0947246
82	250	249.906	0.0935766
83	250	249.907	0.092456
84	250	249.908	0.091362
85	250	249.909	0.0902935
86	250	249.91	0.0892498
87	250	249.911	0.0882299
88	250	249.912	0.087233
89	250	249.913	0.0862585
90	250	249.914	0.0853054
91	250	249.915	0.0843732
92	250	249.916	0.0834612
93	250	249.917	0.0825686
94	250	249.918	0.0816949
95	250	249.919	0.0808396
96	250	249.92	0.0800019
97	250	249.92	0.0791814
98	250	249.921	0.0783776
99	250	249.922	0.07759
100	250	249.923	0.076818
