#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	-0.961036	-0.961036	0
2	-0.999996	-0.980516	0.0137744
3	-0.999998	-0.98701	0.0106038
4	-0.999998	-0.990257	0.00843538
5	-0.999996	-0.992205	0.00696956
6	-0.999996	-0.993503	0.0059277
7	-0.999992	-0.99443	0.00515285
8	-0.999922	-0.995117	0.00455424
9	-0.999998	-0.995659	0.00408038
10	-0.9983	-0.995923	0.00368088
11	-0.999948	-0.996289	0.00336439
12	-0.999986	-0.996597	0.0030981
13	-0.99243	-0.996277	0.00287632
14	-1	-0.996543	0.00268313
15	0.761484	-0.879341	0.113255
16	0.999988	-0.761883	0.155588
17	1	-0.658243	0.177631
18	0.999988	-0.566119	0.190157
19	0.999968	-0.483693	0.197206
20	0.999986	-0.409509	0.200814
21	1	-0.34239	0.202158
22	0.998702	-0.281431	0.20195
23	0.99984	-0.225723	0.200706
24	0.99999	-0.174652	0.198735
25	0.999958	-0.127668	0.196261
26	1	-0.0842958	0.193446
27	1	-0.0441367	0.190404
28	1	-0.00684614	0.18722
29	0.998124	0.027808	0.183943
30	0.999982	0.0602138	0.180644
31	0.999998	0.0905294	0.177342
32	0.999992	0.11895	0.174062
33	0.998284	0.145597	0.170815
34	0.999962	0.170725	0.167629
35	1	0.194419	0.164506
36	0.999178	0.216773	0.161448
37	0.999998	0.237941	0.158466
38	1	0.257995	0.15556
39	1	0.277021	0.15273
40	1	0.295096	0.149978
41	0.999998	0.312288	0.147302
42	0.999858	0.328659	0.144701
43	0.999778	0.344267	0.142175
44	0.999998	0.359169	0.139723
45	0.999998	0.37341	0.137342
46	0.999784	0.387027	0.13503
47	0.999998	0.400069	0.132785
48	1	0.412567	0.130606
49	0.999922	0.424554	0.128489
50	0.999998	0.436063	0.126434
51	0.999908	0.447119	0.124437
52	1	0.457751	0.122497
53	0.999998	0.467982	0.120613
54	0.998522	0.477807	0.118778
55	0.999994	0.487301	0.116998
56	0.95809	0.495708	0.11521
57	1	0.504556	0.113528
58	0.998698	0.513075	0.11189
59	1	0.521328	0.110297
60	1	0.529306	0.108747
61	0.999926	0.537021	0.107238
62	0.999988	0.544488	0.105768
63	1	0.551719	0.104336
64	0.999534	0.558716	0.10294
65	0.999984	0.565505	0.10158
66	0.989452	0.571928	0.100244
67	0.999986	0.578317	0.0989509
68	0.999998	0.584518	0.0976898
69	1	0.59054	0.0964594
70	0.996246	0.596335	0.0952554
71	0.999916	0.60202	0.0940832
72	0.79045	0.604637	0.0928129
73	-1	0.582655	0.0941085
74	-0.99995	0.561269	0.0952358
75	-0.999998	0.540452	0.0962142
76	-0.988352	0.520336	0.0970283
77	-0.999992	0.500592	0.0977565
78	-1	0.481353	0.098378
79	-0.999966	0.462602	0.0989036
80	-0.999954	0.44432	0.0993426
81	-1	0.426489	0.0997035
82	-1	0.409093	0.0999938
83	-1	0.392116	0.10022
84	-0.999958	0.375544	0.100388
85	-0.999998	0.359361	0.100502
86	-0.999992	0.343555	0.100569
87	-0.965156	0.328512	0.100532
88	-0.999998	0.313415	0.100517
89	-1	0.298658	0.100465
90	-0.99994	0.284229	0.100379
91	-0.999936	0.270117	0.100263
92	-0.999994	0.256312	0.100119
93	-0.999998	0.242803	0.0999499
94	-0.999868	0.229583	0.0997571
95	-1	0.21664	0.0995431
96	-0.99999	0.203967	0.0993097
97	-1	0.191555	0.0990585
98	-0.999926	0.179397	0.0987909
99	-1	0.167484	0.0985087
100	-1	0.155809	0.098213
