#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-0.996976	-0.996976	0
2	-0.999992	-0.998484	0.00106632
3	-0.999996	-0.998988	0.000821396
4	-0.999996	-0.99924	0.000653561
5	-0.999992	-0.99939	0.000539877
6	-0.999992	-0.999491	0.000459114
7	-0.999988	-0.999562	0.000398986
8	-0.999948	-0.99961	0.000352022
9	-0.999996	-0.999653	0.00031551
10	-0.999592	-0.999647	0.000284018
11	-0.999964	-0.999676	0.000259658
12	-0.99998	-0.999701	0.000239255
13	-0.998888	-0.999638	0.000228879
14	-1	-0.999664	0.000213982
15	-0.99664	-0.999463	0.000278975
16	-0.999988	-0.999496	0.000263464
17	-1	-0.999525	0.000249632
18	-0.999984	-0.999551	0.000237061
19	-0.999968	-0.999573	0.0002256
20	-0.99998	-0.999593	0.000215237
21	-1	-0.999612	0.000205858
22	-0.99958	-0.999611	0.000196507
23	-0.999928	-0.999625	0.000188446
24	-0.999984	-0.99964	0.000181188
25	-0.999964	-0.999653	0.000174404
26	-1	-0.999666	0.000168207
27	-1	-0.999678	0.000162431
28	-1	-0.99969	0.000157036
29	-0.99934	-0.999678	0.000152084
30	-0.999968	-0.999687	0.000147321
31	-0.999996	-0.999697	0.000142905
32	-0.999984	-0.999706	0.000138719
33	-0.99964	-0.999704	0.00013453
34	-0.999968	-0.999712	0.000130797
35	-1	-0.99972	0.000127318
36	-0.999748	-0.999721	0.000123784
37	-0.999996	-0.999729	0.000120661
38	-1	-0.999736	0.000117697
39	-1	-0.999742	0.000114874
40	-1	-0.999749	0.000112183
41	-0.999996	-0.999755	0.000109608
42	-0.99992	-0.999759	0.000107069
43	-0.999904	-0.999762	0.000104632
44	-0.999996	-0.999768	0.000102389
45	-0.999996	-0.999773	0.000100239
46	-0.999928	-0.999776	9.81172e-05
47	-0.999996	-0.999781	9.61412e-05
48	-1	-0.999785	9.42468e-05
49	-0.999948	-0.999789	9.23819e-05
50	-0.999996	-0.999793	9.06274e-05
51	-0.999936	-0.999796	8.88939e-05
52	-1	-0.999799	8.72713e-05
53	-0.999996	-0.999803	8.57034e-05
54	-0.999652	-0.9998	8.41621e-05
55	-0.999992	-0.999804	8.27039e-05
56	-0.99676	-0.99975	9.74654e-05
57	-1	-0.999754	9.58545e-05
58	-0.999564	-0.999751	9.42577e-05
59	-1	-0.999755	9.27548e-05
60	-1	-0.999759	9.12989e-05
61	-0.999936	-0.999762	8.98483e-05
62	-0.999984	-0.999765	8.84706e-05
63	-1	-0.999769	8.71446e-05
64	-0.999828	-0.99977	8.57878e-05
65	-0.99998	-0.999773	8.45288e-05
66	-0.99876	-0.999758	8.46308e-05
67	-0.99998	-0.999761	8.34325e-05
68	-0.999996	-0.999765	8.2277e-05
69	-1	-0.999768	8.11552e-05
70	-0.999048	-0.999758	8.06452e-05
71	-0.999952	-0.999761	7.95557e-05
72	-0.999392	-0.999755	7.86153e-05
73	-1	-0.999759	7.76097e-05
74	-0.999944	-0.999761	7.66013e-05
75	-0.999996	-0.999764	7.56438e-05
76	-0.998888	-0.999753	7.55224e-05
77	-0.999992	-0.999756	7.46054e-05
78	-1	-0.999759	7.37145e-05
79	-0.999964	-0.999762	7.2827e-05
80	-0.999956	-0.999764	7.19572e-05
81	-1	-0.999767	7.11277e-05
82	-1	-0.99977	7.0317e-05
83	-1	-0.999773	6.95244e-05
84	-0.999964	-0.999775	6.8734e-05
85	-0.999996	-0.999778	6.79746e-05
86	-0.999992	-0.99978	6.72299e-05
87	-0.996804	-0.999746	7.46542e-05
88	-0.999996	-0.999749	7.386e-05
89	-1	-0.999752	7.3084e-05
90	-0.999944	-0.999754	7.23033e-05
91	-0.99996	-0.999756	7.15443e-05
92	-0.999992	-0.999758	7.08126e-05
93	-0.999996	-0.999761	7.00973e-05
94	-0.999936	-0.999763	6.93763e-05
95	-1	-0.999765	6.86909e-05
96	-0.999992	-0.999768	6.80159e-05
97	-1	-0.99977	6.73568e-05
98	-0.999956	-0.999772	6.66962e-05
99	-1	-0.999774	6.60622e-05
100	-1	-0.999777	6.54401e-05
