TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2	100	0	0	0
0.25	100	0	0.00439584	0.00307439
0.30	100	0	0.00838356	0.00238786
0.35	100	0.0280353	0.0353139	0.00420927
0.40	100	0.128909	0.112861	0.00498688
0.45	100	0.26482	0.212483	0.00555864
0.50	100	0.365512	0.323948	0.00417339
0.55	100	0.409617	0.393189	0.00245671
0.60	100	0.433709	0.418772	0.00219928
0.65	100	0.44759	0.424061	0.00236474
0.70	100	0.430694	0.429857	0.00206193
0.75	100	0.441601	0.435912	0.00150751
0.80	100	0.433401	0.438819	0.00139807
0.85	100	0.429903	0.438118	0.00119228
0.90	100	0.436661	0.434725	0.00107076
0.95	100	0.433483	0.428311	0.000944159
1.00	100	0.416713	0.418948	0.000818189
1.05	100	0.402454	0.408446	0.000780189
1.10	100	0.390766	0.396816	0.000666051
1.15	100	0.379618	0.383591	0.00061533
1.20	100	0.370394	0.370967	0.000538514
1.25	100	0.352717	0.35793	0.000478714
1.30	100	0.339626	0.344679	0.000500909
1.35	100	0.327307	0.331973	0.000459192
1.40	100	0.313384	0.318495	0.000407207
1.45	100	0.30144	0.306156	0.000382655
1.50	100	0.292719	0.293574	0.000368277
1.55	100	0.282207	0.281714	0.000374283
1.60	100	0.273537	0.27043	0.000354119
1.65	100	0.261804	0.259565	0.000352807
1.70	100	0.248926	0.249355	0.00031333
1.75	100	0.23797	0.23927	0.000300506
1.80	100	0.228686	0.229757	0.000278029
1.85	100	0.219436	0.220689	0.00027343
1.90	100	0.21139	0.212365	0.000258873
1.95	100	0.204004	0.204163	0.00022803
2.00	100	0.195182	0.19642	0.000220962
2.05	100	0.188829	0.18906	0.000207369
2.10	100	0.18227	0.18204	0.000197713
2.15	100	0.17618	0.175412	0.000176566
2.20	100	0.170699	0.16917	0.000171118
2.25	100	0.163482	0.163051	0.000164639
2.30	100	0.158629	0.157258	0.000163253
2.35	100	0.153401	0.151714	0.000156392
2.40	100	0.148875	0.146472	0.000150622
2.45	100	0.144146	0.141556	0.00014789
2.50	100	0.139662	0.136802	0.000137448
2.55	100	0.134419	0.132309	0.000131503
2.60	100	0.129993	0.128003	0.000130647
2.65	100	0.125779	0.123841	0.000126426
2.70	100	0.120942	0.119852	0.000120344
2.75	100	0.117052	0.116152	0.000111353
2.80	100	0.113121	0.112525	0.000103491
2.85	100	0.110012	0.109064	0.000105115
2.90	100	0.107044	0.105768	9.95375e-05
2.95	100	0.103621	0.102646	9.65591e-05
3.00	100	0.100529	0.0996257	9.51401e-05
