TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2	100	-1	-1	1.49012e-09
0.25	100	1	0.598808	0.0799468
0.30	100	-1	0.437208	0.089547
0.35	100	0.996682	0.251311	0.0912111
0.40	100	0.970866	-0.0509516	0.073321
0.45	100	-0.0025	-0.0437663	0.0539915
0.50	100	-0.463936	-0.0608165	0.0348047
0.55	100	0.192786	-0.0011553	0.0208649
0.60	100	-0.165292	-0.00229996	0.01379
0.65	100	-0.055548	-0.00697044	0.00915838
0.70	100	-0.069702	-0.015752	0.00683811
0.75	100	-0.020746	-0.00645588	0.00569253
0.80	100	-0.000336	-0.00473662	0.00450358
0.85	100	-0.00061	-0.00439052	0.00378944
0.90	100	-0.008016	-0.00290878	0.00303322
0.95	100	-0.01277	-0.00447784	0.0024409
1.00	100	0.00972	-0.00330918	0.00205438
1.05	100	0.007688	-0.00237712	0.00175571
1.10	100	-0.001698	-0.00238326	0.00159785
1.15	100	-0.003288	-0.00161652	0.0013385
1.20	100	-0.003584	-0.00176168	0.00120631
1.25	100	-0.00217	-0.00069394	0.00111592
1.30	100	0.00484	-0.00125294	0.000980687
1.35	100	0.00966	-0.00105338	0.000904344
1.40	100	0.01073	-0.00084624	0.000842558
1.45	100	0.012964	-0.00172638	0.000784134
1.50	100	0.018326	-0.00094668	0.000727704
1.55	100	0.01561	-0.00101882	0.000700895
1.60	100	0.015062	-0.00099182	0.000646454
1.65	100	0.01264	-0.00081148	0.00062815
1.70	100	0.008528	-0.0006911	0.000591797
1.75	100	0.009186	-0.00078652	0.000579765
1.80	100	0.010244	-0.0007695	0.00053808
1.85	100	0.007062	-0.00066868	0.000504571
1.90	100	0.00784	-0.00073938	0.00048663
1.95	100	0.00765	-0.000921	0.000461306
2.00	100	0.00783	-0.0010672	0.000447051
2.05	100	0.008142	-0.00111076	0.000408511
2.10	100	0.007266	-0.0012111	0.000399289
2.15	100	0.006424	-0.0012136	0.000386171
2.20	100	0.00657	-0.00110788	0.000366632
2.25	100	0.007516	-0.00107862	0.00035933
2.30	100	0.007752	-0.00106518	0.000353585
2.35	100	0.00755	-0.00108644	0.000348093
2.40	100	0.00654	-0.0009839	0.000337008
2.45	100	0.005248	-0.00096012	0.000328216
2.50	100	0.003656	-0.00093328	0.000322964
2.55	100	0.00319	-0.00078898	0.000317979
2.60	100	0.002992	-0.00068078	0.000314834
2.65	100	0.003408	-0.00062802	0.00031717
2.70	100	0.004086	-0.00063076	0.000312279
2.75	100	0.004866	-0.00065644	0.000302553
2.80	100	0.004872	-0.0006942	0.000290596
2.85	100	0.004486	-0.00066032	0.00028854
2.90	100	0.005318	-0.0006545	0.000282045
2.95	100	0.005034	-0.00064816	0.00027783
3.00	100	0.005014	-0.00061836	0.000274853
