TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2	100	-1	-1	0
0.25	100	-1	-0.999928	5.09916e-05
0.30	100	-1	-0.999807	5.56019e-05
0.35	100	-0.999132	-0.99888	0.000137872
0.40	100	-0.99446	-0.995195	0.000231437
0.45	100	-0.984556	-0.987673	0.000389297
0.50	100	-0.970776	-0.973898	0.00049747
0.55	100	-0.95376	-0.956017	0.000507692
0.60	100	-0.939096	-0.934718	0.000447459
0.65	100	-0.912804	-0.91384	0.000401875
0.70	100	-0.89094	-0.892251	0.000335389
0.75	100	-0.868988	-0.870132	0.00027148
0.80	100	-0.846572	-0.848443	0.000260391
0.85	100	-0.824008	-0.826274	0.000217352
0.90	100	-0.801392	-0.804549	0.000200644
0.95	100	-0.782068	-0.78296	0.000209951
1.00	100	-0.758456	-0.76179	0.000207387
1.05	100	-0.738088	-0.741069	0.000200695
1.10	100	-0.718824	-0.720737	0.00019244
1.15	100	-0.699384	-0.701114	0.000176587
1.20	100	-0.6812	-0.682238	0.000179762
1.25	100	-0.661916	-0.663971	0.000177104
1.30	100	-0.646172	-0.646316	0.000167196
1.35	100	-0.63024	-0.629502	0.000168941
1.40	100	-0.613272	-0.613243	0.000157874
1.45	100	-0.598052	-0.597771	0.000150561
1.50	100	-0.583788	-0.582685	0.000141575
1.55	100	-0.568816	-0.568376	0.000139114
1.60	100	-0.554572	-0.554552	0.00013341
1.65	100	-0.540516	-0.541349	0.000131389
1.70	100	-0.527872	-0.52861	0.000126916
1.75	100	-0.515032	-0.516376	0.000124773
1.80	100	-0.503712	-0.504718	0.000135663
1.85	100	-0.49246	-0.493457	0.000130363
1.90	100	-0.482336	-0.482594	0.000119922
1.95	100	-0.47174	-0.472218	0.000130332
2.00	100	-0.461336	-0.462215	0.000132847
2.05	100	-0.452064	-0.45249	0.00012702
2.10	100	-0.44314	-0.443282	0.000123722
2.15	100	-0.43384	-0.434341	0.000119541
2.20	100	-0.425244	-0.425761	0.000127588
2.25	100	-0.41754	-0.417459	0.000127086
2.30	100	-0.40982	-0.409393	0.000121611
2.35	100	-0.402568	-0.401653	0.000121753
2.40	100	-0.395444	-0.394191	0.000123679
2.45	100	-0.388452	-0.386989	0.000127463
2.50	100	-0.381336	-0.380043	0.000122202
2.55	100	-0.374416	-0.373304	0.00012453
2.60	100	-0.367592	-0.366805	0.000125048
2.65	100	-0.360952	-0.360504	0.000127676
2.70	100	-0.354548	-0.354395	0.0001264
2.75	100	-0.34886	-0.348478	0.000128704
2.80	100	-0.342984	-0.342747	0.00012841
2.85	100	-0.337136	-0.337204	0.000129873
2.90	100	-0.331852	-0.331859	0.000130771
2.95	100	-0.326292	-0.326636	0.00012775
3.00	100	-0.321188	-0.321606	0.000130744
