TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2	100	250	250	2.6974e-07
0.25	100	200	199.845	0.114551
0.30	100	166.667	166.382	0.0962133
0.35	100	142.091	141.498	0.197644
0.40	100	119.788	119.879	0.287888
0.45	100	97.0563	99.6704	0.429237
0.50	100	76.2457	78.7637	0.494815
0.55	100	58.6911	60.0221	0.456762
0.60	100	48.6007	43.994	0.355523
0.65	100	33.4543	32.7267	0.284455
0.70	100	24.9395	24.7643	0.186142
0.75	100	19.2737	19.0423	0.119543
0.80	100	14.869	15.2457	0.0993412
0.85	100	11.65	12.3646	0.0722388
0.90	100	9.93788	10.2893	0.0524465
0.95	100	8.5056	8.69529	0.0422397
1.00	100	7.15294	7.42953	0.0318902
1.05	100	6.09258	6.40826	0.0257976
1.10	100	5.38069	5.61871	0.0206621
1.15	100	4.69612	4.96393	0.0177089
1.20	100	4.38553	4.42997	0.0150941
1.25	100	3.94829	3.97927	0.0128945
1.30	100	3.59668	3.59113	0.0105238
1.35	100	3.24676	3.2693	0.00927151
1.40	100	2.96043	2.98593	0.00866477
1.45	100	2.70935	2.74734	0.00761285
1.50	100	2.57123	2.53211	0.00643987
1.55	100	2.35997	2.34835	0.00580093
1.60	100	2.1263	2.18489	0.00467289
1.65	100	1.97441	2.04137	0.00484444
1.70	100	1.84475	1.91375	0.00419136
1.75	100	1.73867	1.79701	0.00355903
1.80	100	1.64448	1.69236	0.00337289
1.85	100	1.54683	1.59928	0.00304155
1.90	100	1.46605	1.51318	0.00276689
1.95	100	1.39903	1.43481	0.00266812
2.00	100	1.33773	1.36247	0.00247253
2.05	100	1.27596	1.29576	0.00229046
2.10	100	1.22702	1.23656	0.00214678
2.15	100	1.17168	1.18036	0.00203752
2.20	100	1.1268	1.13024	0.00189489
2.25	100	1.08758	1.08258	0.00183974
2.30	100	1.03985	1.03816	0.00174364
2.35	100	0.998599	0.997863	0.0016502
2.40	100	0.967857	0.959957	0.00164873
2.45	100	0.928216	0.924969	0.00155105
2.50	100	0.89231	0.891883	0.00147711
2.55	100	0.856328	0.860756	0.00142244
2.60	100	0.828135	0.830741	0.00139442
2.65	100	0.798367	0.802711	0.00135685
2.70	100	0.772594	0.777155	0.00129644
2.75	100	0.74918	0.753046	0.00121739
2.80	100	0.726574	0.729685	0.00118598
2.85	100	0.701919	0.708102	0.0011482
2.90	100	0.682914	0.687809	0.00107948
2.95	100	0.663025	0.668421	0.00103077
3.00	100	0.644441	0.649727	0.000974304
