TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3		100	0
.35		100	0
.40		100	0
.45		100	0
.50		100	0
.55		100	0
.60		100	0
.65		100	0
.70		100	0
.75		100	0
.80		100	0
.85		100	0
.90		100	0
.95		100	0
1.00		100	0
1.05		100	0
1.10		100	0
1.15		100	0
1.20		100	0
1.25		100	0
1.30		100	0
1.35		100	0
1.40		100	0
1.45		100	0
1.50		100	0
1.55		100	0
1.60		100	0
1.65		100	0
1.70		100	0
1.75		100	0
1.80		100	0
1.85		100	0
1.90		100	0
1.95		100	0
2.00		100	0
2.05		100	0
2.10		100	0
2.15		100	0
2.20		100	0
2.25		100	0
2.30		100	0
2.35		100	0
2.40		100	0
2.45		100	0
2.50		100	0
2.55		100	0
2.60		100	0
2.65		100	0
2.70		100	0
2.75		100	0
2.80		100	0
2.85		100	0
2.90		100	0
2.95		100	0
3.00		100	0
