TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3	100	-3.20731e-14	0.0012195	0.00031286
.35	100	0.00242655	0.00529816	0.000751261
.40	100	0.0384053	0.0225653	0.00149189
.45	100	0.0568269	0.0535866	0.00182376
.50	100	0.144297	0.112864	0.00238042
.55	100	0.172915	0.18676	0.00235418
.60	100	0.253019	0.25943	0.0023331
.65	100	0.345873	0.324119	0.00183366
.70	100	0.373395	0.369998	0.00139532
.75	100	0.39914	0.397289	0.00100632
.80	100	0.410527	0.412452	0.000719964
.85	100	0.421139	0.42003	0.000646535
.90	100	0.420949	0.420084	0.000504926
.95	100	0.415195	0.41564	0.000405941
1.00	100	0.412991	0.408388	0.000332107
1.05	100	0.401831	0.398842	0.000296401
1.10	100	0.389165	0.388057	0.000236777
1.15	100	0.37694	0.376074	0.000191763
1.20	100	0.363662	0.363482	0.000177614
1.25	100	0.351745	0.350583	0.0001567
1.30	100	0.33802	0.337565	0.000128767
1.35	100	0.323977	0.324672	0.00011371
1.40	100	0.311954	0.312036	9.14019e-05
1.45	100	0.299425	0.299703	8.28871e-05
1.50	100	0.287123	0.287816	7.25621e-05
1.55	100	0.275968	0.276293	6.37982e-05
1.60	100	0.265161	0.265245	6.004e-05
1.65	100	0.254632	0.254646	5.17774e-05
1.70	100	0.244708	0.244512	4.55523e-05
1.75	100	0.235219	0.234845	4.21113e-05
1.80	100	0.225984	0.225594	3.89222e-05
1.85	100	0.216994	0.216794	3.64878e-05
1.90	100	0.208596	0.208405	3.25281e-05
1.95	100	0.200519	0.200406	3.06496e-05
2.00	100	0.192998	0.192803	2.9491e-05
2.05	100	0.185661	0.185584	2.79432e-05
2.10	100	0.178806	0.178691	2.51063e-05
2.15	100	0.172155	0.172134	2.33664e-05
2.20	100	0.165915	0.165899	2.29843e-05
2.25	100	0.159896	0.159961	2.10207e-05
2.30	100	0.154182	0.154317	1.91696e-05
2.35	100	0.14876	0.148937	1.86145e-05
2.40	100	0.143564	0.143798	1.7672e-05
2.45	100	0.138674	0.13891	1.69349e-05
2.50	100	0.13406	0.134248	1.59091e-05
2.55	100	0.129661	0.129797	1.52794e-05
2.60	100	0.125445	0.125553	1.43962e-05
2.65	100	0.121412	0.121495	1.35043e-05
2.70	100	0.117576	0.117622	1.26082e-05
2.75	100	0.113907	0.113924	1.20377e-05
2.80	100	0.110376	0.110387	1.16147e-05
2.85	100	0.106988	0.107	1.09368e-05
2.90	100	0.103757	0.103761	1.03865e-05
2.95	100	0.100655	0.100658	9.77629e-06
3.00	100	0.0976933	0.0976876	9.34335e-06
