TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3	100	1	0.999807	6.5321e-05
.35	100	0.999742	0.998545	0.00039539
.40	100	0.987452	0.976956	0.00746813
.45	100	0.976224	0.947324	0.00850545
.50	100	0.769674	0.882891	0.00959088
.55	100	0.761908	0.781579	0.00749778
.60	100	0.61856	0.662108	0.00758708
.65	100	0.47615	0.535563	0.00686867
.70	100	0.481034	0.435233	0.0053108
.75	100	0.38424	0.34699	0.00456934
.80	100	0.298574	0.284373	0.00377094
.85	100	0.251408	0.234234	0.00313927
.90	100	0.195608	0.19692	0.00286858
.95	100	0.172952	0.166632	0.00230935
1.00	100	0.162242	0.142781	0.00197917
1.05	100	0.132256	0.125218	0.00186113
1.10	100	0.106446	0.109292	0.00165843
1.15	100	0.095216	0.0968077	0.0013695
1.20	100	0.084222	0.0853599	0.00122013
1.25	100	0.075962	0.0774489	0.0010918
1.30	100	0.07379	0.0699177	0.000990651
1.35	100	0.07158	0.0638278	0.00093499
1.40	100	0.066898	0.0583634	0.000842136
1.45	100	0.064508	0.0532053	0.000747952
1.50	100	0.066412	0.0492192	0.000699781
1.55	100	0.061754	0.0454642	0.000653419
1.60	100	0.058198	0.0425263	0.000624072
1.65	100	0.053352	0.0398337	0.000610022
1.70	100	0.046708	0.0372573	0.000592651
1.75	100	0.045458	0.0349514	0.000571006
1.80	100	0.042828	0.0328474	0.000541362
1.85	100	0.038938	0.0309628	0.000497373
1.90	100	0.037984	0.0292637	0.000474485
1.95	100	0.035406	0.0276036	0.000448163
2.00	100	0.03588	0.0261745	0.000428201
2.05	100	0.034904	0.0246759	0.000404103
2.10	100	0.032034	0.0234732	0.000391464
2.15	100	0.030462	0.0223813	0.000396758
2.20	100	0.029424	0.0214751	0.000374685
2.25	100	0.02765	0.020606	0.000355319
2.30	100	0.027878	0.0196206	0.000354373
2.35	100	0.026124	0.0188282	0.000350195
2.40	100	0.025196	0.0182012	0.000331608
2.45	100	0.0236	0.0175661	0.000319623
2.50	100	0.021826	0.0168487	0.000325905
2.55	100	0.020306	0.0163681	0.000318502
2.60	100	0.019774	0.015905	0.000313173
2.65	100	0.01942	0.0154524	0.000315088
2.70	100	0.019674	0.0148676	0.000303201
2.75	100	0.01919	0.0143909	0.000295279
2.80	100	0.019216	0.0138831	0.000289356
2.85	100	0.01869	0.0134868	0.000283374
2.90	100	0.017986	0.013103	0.000278089
2.95	100	0.01816	0.0127007	0.000281019
3.00	100	0.0175	0.0123669	0.000277604
