TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3	100	-1.02	-1.01994	1.5828e-05
.35	100	-1.01984	-1.01964	5.5048e-05
.40	100	-1.0166	-1.01768	0.000244908
.45	100	-1.01362	-1.01336	0.000315088
.50	100	-0.996649	-1.00307	0.000441625
.55	100	-0.987998	-0.986267	0.000484461
.60	100	-0.964607	-0.964347	0.000554466
.65	100	-0.932107	-0.938327	0.000519924
.70	100	-0.911853	-0.91179	0.000460601
.75	100	-0.886237	-0.886023	0.000379351
.80	100	-0.862131	-0.861058	0.00032008
.85	100	-0.836252	-0.836227	0.0003253
.90	100	-0.812336	-0.812638	0.000289749
.95	100	-0.790227	-0.789758	0.000249955
1.00	100	-0.764973	-0.767396	0.00022266
1.05	100	-0.743877	-0.745828	0.000226437
1.10	100	-0.723889	-0.724744	0.000207671
1.15	100	-0.70382	-0.704567	0.000189107
1.20	100	-0.684912	-0.685132	0.000194842
1.25	100	-0.665271	-0.666527	0.000189687
1.30	100	-0.648336	-0.648689	0.000169868
1.35	100	-0.63304	-0.631583	0.00016762
1.40	100	-0.615706	-0.615151	0.000149419
1.45	100	-0.600362	-0.599423	0.000146754
1.50	100	-0.586172	-0.584258	0.000142766
1.55	100	-0.570963	-0.569806	0.000134174
1.60	100	-0.556584	-0.555894	0.000137281
1.65	100	-0.542987	-0.542569	0.000127128
1.70	100	-0.529598	-0.529748	0.000123852
1.75	100	-0.516909	-0.51743	0.00012264
1.80	100	-0.504849	-0.505665	0.000124913
1.85	100	-0.494019	-0.494327	0.000126234
1.90	100	-0.48308	-0.483437	0.000122183
1.95	100	-0.472908	-0.473007	0.000124237
2.00	100	-0.462558	-0.462959	0.000128681
2.05	100	-0.453318	-0.453203	0.000128474
2.10	100	-0.443617	-0.443926	0.000123741
2.15	100	-0.435037	-0.434978	0.000122659
2.20	100	-0.42642	-0.426326	0.000127799
2.25	100	-0.418609	-0.418016	0.000123574
2.30	100	-0.410894	-0.409918	0.000119493
2.35	100	-0.403402	-0.402143	0.000124067
2.40	100	-0.39636	-0.394698	0.000124077
2.45	100	-0.389092	-0.387455	0.000126064
2.50	100	-0.381745	-0.380453	0.000126718
2.55	100	-0.37473	-0.373721	0.000127928
2.60	100	-0.368023	-0.367171	0.000126377
2.65	100	-0.36156	-0.360899	0.000126992
2.70	100	-0.355297	-0.354786	0.000127224
2.75	100	-0.349148	-0.348834	0.000129033
2.80	100	-0.343304	-0.343073	0.000129966
2.85	100	-0.337674	-0.337551	0.000130068
2.90	100	-0.332112	-0.332158	0.000131128
2.95	100	-0.326915	-0.326941	0.000130421
3.00	100	-0.321686	-0.321877	0.000131433
