TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3	100	-8166.67	-8164.11	0.83955
.35	100	-6996.63	-6985.92	3.06208
.40	100	-6004.56	-6049.12	7.01724
.45	100	-5245.98	-5238.94	9.90634
.50	100	-4198.35	-4402.87	15.0383
.55	100	-3672.56	-3548.51	16.5277
.60	100	-2829.98	-2755.68	17.1139
.65	100	-1953.26	-2040.07	14.0977
.70	100	-1562.15	-1504.1	11.2213
.75	100	-1166.47	-1130.57	8.4667
.80	100	-911.143	-864.73	5.72627
.85	100	-689.338	-674.444	4.93316
.90	100	-529.833	-539.323	3.41446
.95	100	-438.464	-435.811	2.4854
1.00	100	-357.126	-360.239	1.87527
1.05	100	-292.698	-303.096	1.51959
1.10	100	-252.008	-256.855	1.13151
1.15	100	-208.523	-221.393	0.983778
1.20	100	-194.498	-192.223	0.834713
1.25	100	-168.383	-168.633	0.665943
1.30	100	-149.293	-149.218	0.538566
1.35	100	-133.941	-132.959	0.480729
1.40	100	-119.433	-118.852	0.43882
1.45	100	-109.542	-107.145	0.381827
1.50	100	-101.604	-96.898	0.328992
1.55	100	-90.5877	-88.0629	0.293245
1.60	100	-79.9731	-80.5749	0.236164
1.65	100	-72.7707	-73.8723	0.221136
1.70	100	-65.6042	-68.0522	0.200954
1.75	100	-60.7681	-62.8123	0.179072
1.80	100	-56.3069	-58.1567	0.161696
1.85	100	-52.4245	-54.0667	0.153663
1.90	100	-48.7684	-50.3593	0.136476
1.95	100	-46.0138	-47.0163	0.134179
2.00	100	-42.7882	-43.9052	0.124426
2.05	100	-40.8416	-41.0507	0.115966
2.10	100	-38.1871	-38.6194	0.110557
2.15	100	-35.9482	-36.315	0.102891
2.20	100	-34.3627	-34.2392	0.0970268
2.25	100	-32.6906	-32.3246	0.0902385
2.30	100	-30.7907	-30.5497	0.0889317
2.35	100	-29.1794	-28.9401	0.0840526
2.40	100	-27.793	-27.4786	0.0825981
2.45	100	-26.3962	-26.0804	0.0796237
2.50	100	-25.1862	-24.8503	0.075856
2.55	100	-23.7813	-23.636	0.0693386
2.60	100	-22.3995	-22.5235	0.069796
2.65	100	-21.4136	-21.4843	0.0674396
2.70	100	-20.3931	-20.5151	0.0639487
2.75	100	-19.5854	-19.6159	0.060819
2.80	100	-18.7189	-18.7949	0.0597521
2.85	100	-17.972	-17.9911	0.0575153
2.90	100	-17.2408	-17.2827	0.0545054
2.95	100	-16.4681	-16.5868	0.0516743
3.00	100	-15.8009	-15.942	0.0491795
