#BLOCK:	ACTUAL_CV:	CV_AVE:	ERROR:
1	0.362887	0.362887	0
2	0.362103	0.362495	0.000277143
3	0.362411	0.362467	0.000186186
4	0.366976	0.363594	0.000986126
5	0.363121	0.3635	0.000793426
6	0.366221	0.363953	0.000780102
7	0.365818	0.36422	0.000712704
8	0.361837	0.363922	0.00068303
9	0.363174	0.363839	0.000612163
10	0.361473	0.363602	0.000594885
11	0.365768	0.363799	0.000572459
12	0.363887	0.363806	0.000524801
13	0.362055	0.363672	0.000501423
14	0.362258	0.363571	0.000475669
15	0.364658	0.363643	0.000449447
16	0.365246	0.363743	0.000432372
17	0.360711	0.363565	0.000442195
18	0.362575	0.36351	0.000421038
19	0.360332	0.363343	0.000430811
20	0.363105	0.363331	0.000409435
21	0.363855	0.363356	0.000390696
22	0.362629	0.363323	0.000374332
23	0.365034	0.363397	0.000365378
24	0.365165	0.363471	0.000357503
25	0.364854	0.363526	0.000347459
26	0.363844	0.363538	0.00033431
27	0.36593	0.363627	0.000333458
28	0.360589	0.363518	0.000338741
29	0.36315	0.363506	0.000327299
30	0.363991	0.363522	0.000316789
31	0.364749	0.363561	0.000309035
32	0.364142	0.36358	0.000299909
33	0.361203	0.363508	0.000299345
34	0.362858	0.363489	0.000291149
35	0.363259	0.363482	0.000282905
36	0.365958	0.363551	0.000283287
37	0.364534	0.363577	0.000276873
38	0.36421	0.363594	0.000270087
39	0.365128	0.363633	0.000266011
40	0.365959	0.363691	0.000265641
41	0.363874	0.363696	0.000259199
42	0.361611	0.363646	0.000257737
43	0.365072	0.363679	0.000253867
44	0.367407	0.363764	0.00026185
45	0.364796	0.363787	0.000257033
46	0.362557	0.36376	0.000252833
47	0.365792	0.363804	0.000251122
48	0.361878	0.363763	0.000249074
49	0.363886	0.363766	0.000244003
50	0.366482	0.36382	0.000245096
51	0.360111	0.363748	0.000250849
52	0.362508	0.363724	0.000247154
53	0.366132	0.363769	0.000246632
54	0.364022	0.363774	0.00024211
55	0.364802	0.363793	0.000238428
56	0.364252	0.363801	0.000234312
57	0.359021	0.363717	0.000244744
58	0.362421	0.363695	0.000241542
59	0.364118	0.363702	0.000237555
60	0.360905	0.363655	0.000238126
61	0.364858	0.363675	0.000235036
62	0.362243	0.363652	0.000232377
63	0.361941	0.363625	0.00023027
64	0.365121	0.363648	0.000227856
65	0.361546	0.363616	0.000226633
66	0.362776	0.363603	0.000223556
67	0.364414	0.363615	0.000220547
68	0.363145	0.363608	0.000217412
69	0.360956	0.36357	0.000217632
70	0.361439	0.363539	0.00021664
71	0.368014	0.363602	0.000222568
72	0.362135	0.363582	0.000220407
73	0.365674	0.363611	0.000219242
74	0.364133	0.363618	0.000216393
75	0.36413	0.363624	0.000213616
76	0.359878	0.363575	0.000216419
77	0.365482	0.3636	0.000215021
78	0.361157	0.363569	0.000214534
79	0.36406	0.363575	0.000211908
80	0.363073	0.363569	0.000209352
81	0.361902	0.363548	0.000207777
82	0.364128	0.363555	0.000205363
83	0.362293	0.36354	0.000203451
84	0.361841	0.36352	0.000202032
85	0.362598	0.363509	0.000199946
86	0.364529	0.363521	0.000197973
87	0.364994	0.363538	0.00019642
88	0.363319	0.363535	0.000194204
89	0.362039	0.363518	0.000192747
90	0.362426	0.363506	0.000190987
91	0.361956	0.363489	0.000189646
92	0.361968	0.363473	0.000188304
93	0.36324	0.36347	0.000186296
94	0.363568	0.363471	0.000184317
95	0.361166	0.363447	0.000183968
96	0.362296	0.363435	0.000182442
97	0.363766	0.363438	0.000180593
98	0.365845	0.363463	0.000180412
99	0.365156	0.36348	0.000179398
100	0.363662	0.363482	0.000177614
