#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-0.686195	-0.686195	0
2	-0.68653	-0.686362	0.000118341
3	-0.686084	-0.686269	0.000109357
4	-0.681094	-0.684975	0.00112358
5	-0.684952	-0.684971	0.000898871
6	-0.682219	-0.684512	0.000858088
7	-0.682564	-0.684234	0.000779321
8	-0.686818	-0.684557	0.000745847
9	-0.684779	-0.684582	0.000663382
10	-0.688239	-0.684947	0.000690534
11	-0.682177	-0.684695	0.000672111
12	-0.685254	-0.684742	0.000617714
13	-0.686473	-0.684875	0.000584365
14	-0.686532	-0.684993	0.000554477
15	-0.684339	-0.68495	0.000519226
16	-0.683069	-0.684832	0.000499901
17	-0.688547	-0.685051	0.000516055
18	-0.686047	-0.685106	0.000490344
19	-0.688907	-0.685306	0.000503693
20	-0.685307	-0.685306	0.000478508
21	-0.684383	-0.685262	0.000457736
22	-0.686737	-0.685329	0.000441807
23	-0.683825	-0.685264	0.00042741
24	-0.683185	-0.685177	0.000418286
25	-0.683885	-0.685126	0.000404734
26	-0.685013	-0.685121	0.000389191
27	-0.682493	-0.685024	0.000386761
28	-0.688128	-0.685135	0.000388511
29	-0.685576	-0.68515	0.000375412
30	-0.684721	-0.685136	0.000363171
31	-0.683553	-0.685085	0.000355025
32	-0.684011	-0.685051	0.000345513
33	-0.687816	-0.685135	0.000345049
34	-0.686184	-0.685166	0.000336278
35	-0.685301	-0.68517	0.000326693
36	-0.683045	-0.685111	0.000322905
37	-0.684347	-0.68509	0.000314836
38	-0.684129	-0.685065	0.000307565
39	-0.683299	-0.685019	0.000302992
40	-0.682412	-0.684954	0.000302349
41	-0.684544	-0.684944	0.00029514
42	-0.686837	-0.684989	0.000291534
43	-0.683556	-0.684956	0.000286653
44	-0.680903	-0.684864	0.000294563
45	-0.684355	-0.684853	0.000288234
46	-0.685393	-0.684864	0.000282208
47	-0.682518	-0.684814	0.000280584
48	-0.687032	-0.684861	0.000278517
49	-0.684964	-0.684863	0.000272841
50	-0.681822	-0.684802	0.000274076
51	-0.688901	-0.684882	0.000280242
52	-0.685825	-0.6849	0.000275438
53	-0.682067	-0.684847	0.000275382
54	-0.684164	-0.684834	0.000270572
55	-0.683586	-0.684812	0.000266603
56	-0.684414	-0.684804	0.000261936
57	-0.689555	-0.684888	0.000270277
58	-0.686109	-0.684909	0.000266436
59	-0.684588	-0.684903	0.000261976
60	-0.688044	-0.684956	0.000262788
61	-0.683888	-0.684938	0.000259062
62	-0.686842	-0.684969	0.000256695
63	-0.686961	-0.685001	0.000254561
64	-0.683106	-0.684971	0.0002523
65	-0.687209	-0.685005	0.000250757
66	-0.685895	-0.685019	0.00024732
67	-0.683374	-0.684994	0.000244844
68	-0.685683	-0.685005	0.000241453
69	-0.68678	-0.68503	0.000239321
70	-0.687308	-0.685063	0.000238105
71	-0.680498	-0.684998	0.000243275
72	-0.685965	-0.685012	0.000240266
73	-0.683075	-0.684985	0.000238436
74	-0.684095	-0.684973	0.000235517
75	-0.684105	-0.684962	0.000232661
76	-0.688875	-0.685013	0.000235229
77	-0.683043	-0.684988	0.000233562
78	-0.68798	-0.685026	0.000233698
79	-0.684525	-0.68502	0.000230826
80	-0.685531	-0.685026	0.000228029
81	-0.687231	-0.685053	0.000226832
82	-0.68358	-0.685035	0.000224776
83	-0.686538	-0.685053	0.000222796
84	-0.68667	-0.685073	0.000220974
85	-0.685978	-0.685083	0.00021863
86	-0.684317	-0.685074	0.00021627
87	-0.683293	-0.685054	0.000214751
88	-0.68532	-0.685057	0.000212332
89	-0.686426	-0.685072	0.000210503
90	-0.686447	-0.685088	0.000208717
91	-0.686992	-0.685109	0.00020747
92	-0.687585	-0.685135	0.000206954
93	-0.685364	-0.685138	0.000204743
94	-0.684804	-0.685134	0.000202596
95	-0.687417	-0.685158	0.000201883
96	-0.687021	-0.685178	0.00020071
97	-0.685003	-0.685176	0.000198649
98	-0.6832	-0.685156	0.000197643
99	-0.683041	-0.685134	0.000196797
100	-0.684912	-0.685132	0.000194842
