#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	-38.1694	-38.1694	0
2	-38.6841	-38.4268	0.181962
3	-38.1774	-38.3437	0.138999
4	-38.7197	-38.4377	0.132277
5	-37.9946	-38.349	0.132215
6	-38.1039	-38.3082	0.116321
7	-39.5464	-38.4851	0.191727
8	-37.6791	-38.3843	0.192416
9	-38.4405	-38.3906	0.171138
10	-40.6892	-38.6204	0.26698
11	-41.0577	-38.842	0.321773
12	-39.5727	-38.9029	0.300665
13	-36.9151	-38.75	0.314019
14	-36.3533	-38.5788	0.335018
15	-40.0323	-38.6757	0.326396
16	-38.6774	-38.6758	0.305996
17	-37.9914	-38.6356	0.290632
18	-38.4768	-38.6267	0.27462
19	-39.1675	-38.6552	0.261637
20	-38.5186	-38.6484	0.248644
21	-38.5008	-38.6413	0.236903
22	-37.7577	-38.6012	0.229515
23	-40.9453	-38.7031	0.241106
24	-37.1785	-38.6396	0.239282
25	-37.879	-38.6091	0.231637
26	-38.5541	-38.607	0.222737
27	-39.7042	-38.6477	0.218163
28	-37.9977	-38.6244	0.211603
29	-39.2421	-38.6457	0.205375
30	-38.811	-38.6513	0.198603
31	-40.585	-38.7136	0.201756
32	-38.5111	-38.7073	0.19555
33	-40.4071	-38.7588	0.196291
34	-37.8836	-38.7331	0.192198
35	-37.6071	-38.7009	0.18938
36	-38.531	-38.6962	0.184178
37	-37.3763	-38.6605	0.182622
38	-37.8822	-38.64	0.178962
39	-38.5975	-38.6389	0.174376
40	-39.7996	-38.668	0.172414
41	-39.2782	-38.6828	0.16885
42	-39.4711	-38.7016	0.16587
43	-40.8044	-38.7505	0.169067
44	-37.505	-38.7222	0.167578
45	-37.8451	-38.7027	0.164984
46	-38.6222	-38.701	0.161406
47	-38.4144	-38.6949	0.158087
48	-38.2532	-38.6857	0.155061
49	-39.0327	-38.6927	0.152058
50	-39.0734	-38.7004	0.149208
51	-40.637	-38.7383	0.151037
52	-37.6577	-38.7176	0.149555
53	-38.2994	-38.7097	0.146941
54	-37.3207	-38.6839	0.146454
55	-38.779	-38.6857	0.143802
56	-39.0424	-38.692	0.141375
57	-38.4964	-38.6886	0.138936
58	-41.0738	-38.7297	0.142497
59	-37.8681	-38.7151	0.140828
60	-37.9871	-38.703	0.139003
61	-37.7175	-38.6868	0.13766
62	-39.0812	-38.6932	0.135586
63	-40.0572	-38.7149	0.135152
64	-39.9823	-38.7347	0.134483
65	-38.3341	-38.7285	0.132555
66	-38.1621	-38.7199	0.130824
67	-39.5223	-38.7319	0.129419
68	-37.8393	-38.7188	0.128179
69	-39.5486	-38.7308	0.126885
70	-39.1509	-38.7368	0.125214
71	-36.1367	-38.7002	0.128694
72	-37.007	-38.6767	0.129037
73	-39.209	-38.6839	0.127476
74	-37.3434	-38.6658	0.127034
75	-39.5568	-38.6777	0.125894
76	-38.641	-38.6772	0.124238
77	-36.833	-38.6533	0.124912
78	-37.3854	-38.637	0.124364
79	-41.4809	-38.673	0.127893
80	-39.4472	-38.6827	0.12666
81	-38.2521	-38.6774	0.125208
82	-39.7524	-38.6905	0.124366
83	-38.1558	-38.684	0.123034
84	-37.2509	-38.667	0.122747
85	-36.957	-38.6469	0.12294
86	-38.7296	-38.6478	0.121514
87	-38.0469	-38.6409	0.120314
88	-37.8301	-38.6317	0.119299
89	-39.3913	-38.6402	0.118263
90	-39.4379	-38.6491	0.117281
91	-40.7501	-38.6722	0.118243
92	-38.3348	-38.6685	0.117014
93	-36.4945	-38.6452	0.118068
94	-38.7023	-38.6458	0.116814
95	-37.5558	-38.6343	0.116146
96	-38.255	-38.6303	0.115003
97	-38.494	-38.6289	0.113826
98	-38.3291	-38.6259	0.112706
99	-38.4156	-38.6237	0.111588
100	-38.1871	-38.6194	0.110557
