#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.011782	0.011782	0
2	0.015808	0.013795	0.00142341
3	0.010814	0.0128013	0.00124849
4	0.013052	0.012864	0.00093794
5	0.008486	0.0119884	0.00108461
6	0.010278	0.0117033	0.000940554
7	0.014526	0.0121066	0.000888433
8	0.012406	0.012144	0.000778167
9	0.012322	0.0121638	0.000691955
10	0.014908	0.0124382	0.000674986
11	0.011372	0.0123413	0.000620544
12	0.011496	0.0122708	0.000572816
13	0.007696	0.0119189	0.00062761
14	0.011832	0.0119127	0.000582812
15	0.011948	0.0119151	0.000543962
16	0.016516	0.0122026	0.000581021
17	0.01176	0.0121766	0.000547427
18	0.011468	0.0121372	0.000518427
19	0.01358	0.0122132	0.000496672
20	0.010274	0.0121162	0.000481209
21	0.011348	0.0120796	0.000459683
22	0.013178	0.0121295	0.000441491
23	0.011628	0.0121077	0.000422834
24	0.011416	0.0120789	0.000406197
25	0.011342	0.0120494	0.000391017
26	0.013604	0.0121092	0.000380522
27	0.014424	0.012195	0.000375962
28	0.010914	0.0121492	0.000365308
29	0.014074	0.0122156	0.00035869
30	0.012004	0.0122085	0.000346803
31	0.011972	0.0122009	0.0003357
32	0.012388	0.0122068	0.00032526
33	0.00901	0.0121099	0.000329513
34	0.013334	0.0121459	0.000321783
35	0.010076	0.0120867	0.000317977
36	0.01801	0.0122513	0.000349127
37	0.016412	0.0123637	0.000357343
38	0.012794	0.0123751	0.000348119
39	0.01203	0.0123662	0.000339305
40	0.01247	0.0123688	0.000330832
41	0.013686	0.0124009	0.000324319
42	0.014644	0.0124543	0.000320965
43	0.01249	0.0124552	0.000313501
44	0.008142	0.0123571	0.000321337
45	0.010018	0.0123052	0.000318372
46	0.012362	0.0123064	0.000311454
47	0.01368	0.0123356	0.000306195
48	0.019156	0.0124777	0.000331148
49	0.018112	0.0125927	0.000343774
50	0.016208	0.012665	0.000344419
51	0.010674	0.012626	0.000339871
52	0.008558	0.0125477	0.00034222
53	0.0109	0.0125166	0.000337172
54	0.01261	0.0125184	0.000330932
55	0.011196	0.0124943	0.000325788
56	0.01002	0.0124501	0.000322952
57	0.011032	0.0124253	0.000318243
58	0.010316	0.0123889	0.000314828
59	0.00686	0.0122952	0.000323137
60	0.017572	0.0123831	0.000329502
61	0.015666	0.012437	0.000328466
62	0.01099	0.0124136	0.000323997
63	0.018634	0.0125123	0.000333559
64	0.012798	0.0125168	0.000328377
65	0.010258	0.0124821	0.000325159
66	0.01314	0.012492	0.000320385
67	0.01281	0.0124968	0.000315638
68	0.016228	0.0125516	0.00031573
69	0.008706	0.0124959	0.000316035
70	0.011548	0.0124824	0.00031181
71	0.00848	0.012426	0.000312473
72	0.013262	0.0124376	0.000308348
73	0.007718	0.012373	0.000310829
74	0.008606	0.0123221	0.000310769
75	0.014746	0.0123544	0.000308301
76	0.01251	0.0123564	0.000304251
77	0.013916	0.0123767	0.000300973
78	0.015038	0.0124108	0.000299042
79	0.014336	0.0124352	0.000296248
80	0.010242	0.0124078	0.000293811
81	0.012648	0.0124107	0.000290199
82	0.009684	0.0123775	0.000288558
83	0.011586	0.0123679	0.000285239
84	0.009248	0.0123308	0.000284252
85	0.008686	0.0122879	0.000284123
86	0.011794	0.0122822	0.000280878
87	0.005904	0.0122089	0.000287057
88	0.01349	0.0122234	0.000284164
89	0.013264	0.0122351	0.000281212
90	0.014648	0.0122619	0.000279362
91	0.019146	0.0123376	0.000286352
92	0.015024	0.0123668	0.000284724
93	0.010102	0.0123424	0.000282702
94	0.015322	0.0123741	0.000281466
95	0.012676	0.0123773	0.000278521
96	0.015676	0.0124116	0.000277732
97	0.009774	0.0123845	0.000276196
98	0.010198	0.0123621	0.000274278
99	0.007698	0.012315	0.000275524
100	0.0175	0.0123669	0.000277604
