#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	-8162.29	-8162.29	0
2	-8166.67	-8164.48	1.54904
3	-8166.63	-8165.2	1.18803
4	-8163.78	-8164.84	0.942006
5	-8166.6	-8165.19	0.816658
6	-8166.67	-8165.44	0.716477
7	-8164.59	-8165.32	0.624286
8	-8162.71	-8164.99	0.625474
9	-8166.67	-8165.18	0.582977
10	-8166.67	-8165.33	0.543338
11	-8166.67	-8165.45	0.5074
12	-8166.47	-8165.53	0.472221
13	-8160.42	-8165.14	0.576762
14	-8166.67	-8165.25	0.545758
15	-8165.45	-8165.26	0.509534
16	-8166.41	-8165.33	0.482683
17	-8166.57	-8165.41	0.459724
18	-8165.85	-8165.43	0.434854
19	-8160.82	-8165.19	0.474869
20	-8127.49	-8163.3	1.89206
21	-8164.71	-8163.37	1.80314
22	-8166.11	-8163.5	1.72548
23	-8166.6	-8163.63	1.65573
24	-8166.32	-8163.74	1.59052
25	-8166.63	-8163.86	1.5311
26	-8166.67	-8163.97	1.47602
27	-8165.75	-8164.03	1.42283
28	-8164.99	-8164.07	1.37243
29	-8166.63	-8164.16	1.32795
30	-8166.67	-8164.24	1.28632
31	-8166.63	-8164.32	1.24715
32	-8166.67	-8164.39	1.21033
33	-8166.67	-8164.46	1.17562
34	-8165.92	-8164.5	1.14183
35	-8166.51	-8164.56	1.11064
36	-8166.54	-8164.61	1.08115
37	-8166.47	-8164.66	1.0531
38	-8166.22	-8164.71	1.02618
39	-8166.22	-8164.74	1.00061
40	-8166.47	-8164.79	0.976527
41	-8166.67	-8164.83	0.953784
42	-8165.7	-8164.85	0.931296
43	-8149.93	-8164.51	0.972123
44	-8166.67	-8164.56	0.951267
45	-8165.44	-8164.58	0.930333
46	-8166.54	-8164.62	0.911085
47	-8165.72	-8164.64	0.892002
48	-8166.11	-8164.67	0.873943
49	-8166.6	-8164.71	0.856994
50	-8166.67	-8164.75	0.840745
51	-8165.38	-8164.76	0.824351
52	-8148	-8164.44	0.869231
53	-8166.67	-8164.48	0.853844
54	-8166.67	-8164.52	0.838989
55	-8166.67	-8164.56	0.824639
56	-8166.2	-8164.59	0.81043
57	-8166.67	-8164.63	0.797029
58	-8166.67	-8164.66	0.784062
59	-8165.8	-8164.68	0.771008
60	-8166.08	-8164.71	0.758511
61	-8166.51	-8164.74	0.746652
62	-8166.26	-8164.76	0.735015
63	-8166.54	-8164.79	0.723891
64	-8165.67	-8164.8	0.712711
65	-8166.63	-8164.83	0.702303
66	-8166.67	-8164.86	0.692213
67	-8166.54	-8164.88	0.682336
68	-8166.67	-8164.91	0.672806
69	-8166.14	-8164.93	0.66329
70	-8162.86	-8164.9	0.654474
71	-8166.63	-8164.92	0.645713
72	-8166.17	-8164.94	0.636977
73	-8166.67	-8164.96	0.62869
74	-8158.42	-8164.87	0.626379
75	-8166.67	-8164.9	0.618482
76	-8166.38	-8164.92	0.610651
77	-8166.57	-8164.94	0.603098
78	-8166.67	-8164.96	0.595772
79	-8166.67	-8164.98	0.588622
80	-8166.07	-8165	0.58142
81	-8166.67	-8165.02	0.574608
82	-8166.67	-8165.04	0.567952
83	-8166.67	-8165.06	0.561449
84	-8166.47	-8165.07	0.555018
85	-8166.63	-8165.09	0.548791
86	-8166.51	-8165.11	0.542656
87	-8164.66	-8165.1	0.536443
88	-8166.63	-8165.12	0.530629
89	-8166.67	-8165.14	0.524951
90	-8166.04	-8165.15	0.519213
91	-8166.31	-8165.16	0.513665
92	-8166.29	-8165.17	0.508227
93	-8166.41	-8165.19	0.502937
94	-8166.35	-8165.2	0.497738
95	-8166.67	-8165.21	0.492739
96	-8166.54	-8165.23	0.487799
97	-8166.67	-8165.24	0.482995
98	-8166.35	-8165.25	0.4782
99	-8166.67	-8165.27	0.473582
100	-8166.67	-8165.28	0.469053
