#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-1.01981	-1.01981	0
2	-1.02	-1.0199	6.76843e-05
3	-1.02	-1.01993	5.15624e-05
4	-1.01993	-1.01993	3.87005e-05
5	-1.01999	-1.01994	3.26984e-05
6	-1.02	-1.01995	2.85099e-05
7	-1.01994	-1.01995	2.44966e-05
8	-1.01986	-1.01994	2.38591e-05
9	-1.02	-1.01995	2.20898e-05
10	-1.02	-1.01995	2.04935e-05
11	-1.02	-1.01996	1.90741e-05
12	-1.01998	-1.01996	1.75777e-05
13	-1.01982	-1.01995	1.93831e-05
14	-1.02	-1.01995	1.83516e-05
15	-1.01995	-1.01995	1.71283e-05
16	-1.01998	-1.01995	1.61238e-05
17	-1.01999	-1.01996	1.53359e-05
18	-1.01996	-1.01996	1.44852e-05
19	-1.01978	-1.01995	1.62908e-05
20	-1.01942	-1.01992	2.99101e-05
21	-1.01992	-1.01992	2.84861e-05
22	-1.01998	-1.01992	2.73012e-05
23	-1.01999	-1.01993	2.62798e-05
24	-1.01998	-1.01993	2.52805e-05
25	-1.02	-1.01993	2.44153e-05
26	-1.02	-1.01993	2.36215e-05
27	-1.01997	-1.01993	2.27792e-05
28	-1.01993	-1.01993	2.19657e-05
29	-1.02	-1.01994	2.13102e-05
30	-1.02	-1.01994	2.07042e-05
31	-1.02	-1.01994	2.01184e-05
32	-1.02	-1.01994	1.95751e-05
33	-1.02	-1.01994	1.90595e-05
34	-1.01996	-1.01994	1.85039e-05
35	-1.01999	-1.01995	1.80242e-05
36	-1.01999	-1.01995	1.75685e-05
37	-1.01999	-1.01995	1.71277e-05
38	-1.01998	-1.01995	1.66918e-05
39	-1.01996	-1.01995	1.62679e-05
40	-1.01998	-1.01995	1.58838e-05
41	-1.02	-1.01995	1.55426e-05
42	-1.01995	-1.01995	1.51726e-05
43	-1.0197	-1.01995	1.59171e-05
44	-1.02	-1.01995	1.56032e-05
45	-1.01993	-1.01995	1.52589e-05
46	-1.01999	-1.01995	1.49536e-05
47	-1.01995	-1.01995	1.46354e-05
48	-1.01998	-1.01995	1.43455e-05
49	-1.01999	-1.01995	1.40806e-05
50	-1.02	-1.01995	1.38359e-05
51	-1.01995	-1.01995	1.35648e-05
52	-1.01968	-1.01994	1.42838e-05
53	-1.02	-1.01995	1.40521e-05
54	-1.02	-1.01995	1.38275e-05
55	-1.02	-1.01995	1.36098e-05
56	-1.01998	-1.01995	1.33756e-05
57	-1.02	-1.01995	1.31716e-05
58	-1.02	-1.01995	1.29735e-05
59	-1.01995	-1.01995	1.27539e-05
60	-1.01998	-1.01995	1.25481e-05
61	-1.01999	-1.01995	1.23606e-05
62	-1.01998	-1.01995	1.21673e-05
63	-1.01999	-1.01995	1.19909e-05
64	-1.01996	-1.01995	1.18046e-05
65	-1.02	-1.01995	1.16419e-05
66	-1.02	-1.01995	1.14871e-05
67	-1.01999	-1.01995	1.13296e-05
68	-1.02	-1.01996	1.11828e-05
69	-1.01997	-1.01996	1.10232e-05
70	-1.01987	-1.01995	1.09379e-05
71	-1.02	-1.01995	1.07997e-05
72	-1.01998	-1.01995	1.06535e-05
73	-1.02	-1.01996	1.05254e-05
74	-1.0198	-1.01995	1.05901e-05
75	-1.02	-1.01995	1.0467e-05
76	-1.01998	-1.01995	1.03347e-05
77	-1.01999	-1.01995	1.02119e-05
78	-1.02	-1.01996	1.00973e-05
79	-1.02	-1.01996	9.98517e-06
80	-1.01997	-1.01996	9.86133e-06
81	-1.02	-1.01996	9.75439e-06
82	-1.02	-1.01996	9.64969e-06
83	-1.02	-1.01996	9.54714e-06
84	-1.01998	-1.01996	9.43707e-06
85	-1.02	-1.01996	9.33658e-06
86	-1.01999	-1.01996	9.23423e-06
87	-1.01994	-1.01996	9.13142e-06
88	-1.02	-1.01996	9.03752e-06
89	-1.02	-1.01996	8.9477e-06
90	-1.01997	-1.01996	8.84869e-06
91	-1.01997	-1.01996	8.75244e-06
92	-1.01998	-1.01996	8.65899e-06
93	-1.01998	-1.01996	8.56967e-06
94	-1.01998	-1.01996	8.48101e-06
95	-1.02	-1.01996	8.40201e-06
96	-1.01999	-1.01996	8.31923e-06
97	-1.02	-1.01996	8.24316e-06
98	-1.01998	-1.01996	8.16215e-06
99	-1.02	-1.01996	8.08888e-06
100	-1.02	-1.01996	8.01689e-06
