TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3		100	3.116e-05
0.35		100	0.00029596
0.40		100	0.00159414
0.45		100	0.00556974
0.50		100	0.0136845
0.55		100	0.0281089
0.60		100	0.0475595
0.65		100	0.0702663
0.70		100	0.0937614
0.75		100	0.117244
0.80		100	0.141202
0.85		100	0.164653
0.90		100	0.187312
0.95		100	0.209488
1.00		100	0.231126
1.05		100	0.252285
1.10		100	0.272872
1.15		100	0.292541
1.20		100	0.31168
1.25		100	0.330171
1.30		100	0.348043
1.35		100	0.364918
1.40		100	0.381242
1.45		100	0.396966
1.50		100	0.412018
1.55		100	0.42673
1.60		100	0.44056
1.65		100	0.453984
1.70		100	0.466878
1.75		100	0.479008
1.80		100	0.490795
1.85		100	0.502126
1.90		100	0.513083
1.95		100	0.523493
2.00		100	0.533621
2.05		100	0.543349
2.10		100	0.552692
2.15		100	0.561792
2.20		100	0.570475
2.25		100	0.578769
2.30		100	0.586889
2.35		100	0.594705
2.40		100	0.602258
2.45		100	0.609462
2.50		100	0.616547
2.55		100	0.623236
2.60		100	0.629795
2.65		100	0.63616
2.70		100	0.642356
2.75		100	0.64836
2.80		100	0.654161
2.85		100	0.659787
2.90		100	0.665219
2.95		100	0.670501
3.00		100	0.675509
