TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3	100	-3.20731e-14	0.000726826	0.000152661
0.35	100	0.00465266	0.00498113	0.000482113
0.40	100	0.0102918	0.0204417	0.000799916
0.45	100	0.0397563	0.0557101	0.00157591
0.50	100	0.116871	0.110062	0.00192182
0.55	100	0.20346	0.18527	0.0018023
0.60	100	0.258313	0.260555	0.00187157
0.65	100	0.338526	0.324222	0.00151844
0.70	100	0.380417	0.367911	0.0011001
0.75	100	0.397852	0.395274	0.000726421
0.80	100	0.405216	0.412326	0.000663712
0.85	100	0.414768	0.419666	0.000436643
0.90	100	0.424763	0.419734	0.000382913
0.95	100	0.418193	0.415504	0.000355587
1.00	100	0.413336	0.408035	0.000279701
1.05	100	0.402658	0.398633	0.000196032
1.10	100	0.391095	0.387826	0.000184867
1.15	100	0.378465	0.375588	0.000165056
1.20	100	0.362805	0.363063	0.00014198
1.25	100	0.350471	0.350288	0.000122455
1.30	100	0.337078	0.33746	0.000110402
1.35	100	0.325046	0.324495	9.60165e-05
1.40	100	0.312544	0.311873	9.62471e-05
1.45	100	0.300332	0.299548	8.21603e-05
1.50	100	0.288125	0.287632	6.77946e-05
1.55	100	0.276229	0.276259	6.02891e-05
1.60	100	0.265021	0.265183	5.87834e-05
1.65	100	0.254298	0.25464	5.13233e-05
1.70	100	0.244238	0.244561	4.47298e-05
1.75	100	0.234536	0.234837	3.81606e-05
1.80	100	0.225401	0.225592	3.70473e-05
1.85	100	0.21667	0.216777	3.80145e-05
1.90	100	0.208221	0.208414	3.33314e-05
1.95	100	0.200143	0.200431	2.97022e-05
2.00	100	0.192757	0.192837	2.77684e-05
2.05	100	0.185334	0.185603	2.73792e-05
2.10	100	0.178543	0.178708	2.37041e-05
2.15	100	0.17223	0.17217	2.20348e-05
2.20	100	0.165684	0.165956	1.98508e-05
2.25	100	0.159908	0.159983	1.85909e-05
2.30	100	0.154306	0.154342	1.89373e-05
2.35	100	0.148951	0.148958	1.83546e-05
2.40	100	0.14396	0.143838	1.78266e-05
2.45	100	0.138948	0.138932	1.7051e-05
2.50	100	0.13435	0.134272	1.59769e-05
2.55	100	0.129878	0.129808	1.41697e-05
2.60	100	0.125637	0.12556	1.40351e-05
2.65	100	0.121604	0.121514	1.20553e-05
2.70	100	0.117723	0.117628	1.11573e-05
2.75	100	0.114119	0.113932	1.08519e-05
2.80	100	0.110494	0.110396	9.35194e-06
2.85	100	0.107068	0.107016	9.58816e-06
2.90	100	0.103958	0.103773	8.1911e-06
2.95	100	0.100728	0.100685	6.81171e-06
3.00	100	0.0977816	0.0976994	6.32733e-06
