TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3	100	1	0.999893	4.38873e-05
0.35	100	0.99909	0.998779	0.000249221
0.40	100	0.997156	0.97452	0.00716355
0.45	100	0.976132	0.941496	0.00804076
0.50	100	0.909152	0.887786	0.0057863
0.55	100	0.76545	0.78788	0.00572304
0.60	100	0.66238	0.67115	0.00507753
0.65	100	0.56382	0.548511	0.00489677
0.70	100	0.401516	0.439963	0.00466064
0.75	100	0.366318	0.357382	0.0031418
0.80	100	0.311726	0.290242	0.00278872
0.85	100	0.295638	0.240264	0.0023852
0.90	100	0.184412	0.2011	0.00183916
0.95	100	0.153934	0.171245	0.00156354
1.00	100	0.126002	0.146764	0.00136738
1.05	100	0.12535	0.127239	0.00115291
1.10	100	0.099702	0.112264	0.00120965
1.15	100	0.091544	0.0983872	0.001069
1.20	100	0.09117	0.0880072	0.000894995
1.25	100	0.072048	0.0800871	0.000804025
1.30	100	0.0836	0.0711562	0.000741771
1.35	100	0.068752	0.0646507	0.000706557
1.40	100	0.05271	0.0602679	0.000619754
1.45	100	0.063148	0.0548104	0.000636258
1.50	100	0.053948	0.0512433	0.000618279
1.55	100	0.0479	0.0477642	0.000541714
1.60	100	0.046806	0.044136	0.000539249
1.65	100	0.040866	0.0407395	0.000512665
1.70	100	0.040548	0.0382676	0.00052542
1.75	100	0.03961	0.0358783	0.000467484
1.80	100	0.042778	0.0339213	0.000440335
1.85	100	0.037604	0.0318627	0.000416839
1.90	100	0.034022	0.030227	0.000372698
1.95	100	0.035192	0.028913	0.000386352
2.00	100	0.03264	0.0282417	0.000397879
2.05	100	0.028704	0.0265295	0.000382134
2.10	100	0.020198	0.0252253	0.000355711
2.15	100	0.018798	0.0235669	0.000372713
2.20	100	0.020028	0.0230063	0.000355112
2.25	100	0.020678	0.0217005	0.000326799
2.30	100	0.01523	0.0209121	0.000311718
2.35	100	0.02129	0.0202399	0.000312211
2.40	100	0.02009	0.0191952	0.000350607
2.45	100	0.019144	0.0185149	0.000324913
2.50	100	0.021804	0.0176853	0.000311237
2.55	100	0.013378	0.0168546	0.000292751
2.60	100	0.01464	0.0167602	0.000278239
2.65	100	0.014758	0.0163857	0.000230219
2.70	100	0.01574	0.0154929	0.000249814
2.75	100	0.01106	0.0149469	0.000272773
2.80	100	0.015884	0.0148342	0.000250705
2.85	100	0.0111	0.0145008	0.000257885
2.90	100	0.014136	0.0136106	0.000237294
2.95	100	0.013534	0.0135342	0.000274442
3.00	100	0.01231	0.0134431	0.00023816
