TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3	100	-1.02	-1.01996	7.8745e-06
0.35	100	-1.01969	-1.01966	3.51612e-05
0.40	100	-1.0191	-1.01781	0.000163943
0.45	100	-1.01537	-1.01302	0.000270281
0.50	100	-1.00308	-1.00353	0.000331365
0.55	100	-0.983345	-0.98663	0.000369665
0.60	100	-0.964612	-0.964319	0.000430905
0.65	100	-0.935548	-0.938565	0.000424692
0.70	100	-0.908314	-0.912436	0.000370456
0.75	100	-0.886402	-0.886886	0.000275483
0.80	100	-0.864295	-0.861233	0.000282601
0.85	100	-0.839937	-0.83654	0.00021922
0.90	100	-0.81014	-0.812909	0.00021082
0.95	100	-0.787903	-0.789915	0.000220759
1.00	100	-0.763832	-0.767711	0.000194611
1.05	100	-0.743047	-0.746028	0.000155397
1.10	100	-0.721974	-0.725005	0.000163172
1.15	100	-0.702303	-0.705057	0.000162831
1.20	100	-0.685931	-0.685635	0.000152567
1.25	100	-0.666665	-0.666943	0.000149045
1.30	100	-0.649868	-0.648878	0.000148711
1.35	100	-0.631355	-0.631871	0.000143487
1.40	100	-0.614238	-0.615463	0.000152076
1.45	100	-0.598503	-0.599735	0.000142465
1.50	100	-0.583863	-0.584671	0.00013387
1.55	100	-0.56991	-0.569948	0.000129549
1.60	100	-0.556448	-0.556098	0.000137796
1.65	100	-0.543389	-0.542632	0.000135268
1.70	100	-0.530303	-0.529658	0.000121033
1.75	100	-0.518184	-0.517478	0.000114376
1.80	100	-0.506316	-0.505684	0.000114508
1.85	100	-0.494972	-0.494393	0.000128439
1.90	100	-0.484248	-0.4834	0.000120683
1.95	100	-0.47432	-0.472957	0.000118801
2.00	100	-0.463165	-0.462866	0.000122552
2.05	100	-0.45421	-0.453172	0.000127178
2.10	100	-0.444324	-0.443913	0.000115476
2.15	100	-0.433944	-0.43482	0.000117502
2.20	100	-0.427037	-0.426092	0.000114897
2.25	100	-0.418038	-0.417898	0.000112411
2.30	100	-0.409453	-0.409794	0.000118425
2.35	100	-0.40181	-0.402013	0.000123844
2.40	100	-0.39323	-0.394436	0.00013025
2.45	100	-0.386679	-0.387321	0.000131982
2.50	100	-0.379488	-0.380279	0.000133587
2.55	100	-0.372764	-0.373614	0.000128794
2.60	100	-0.366213	-0.367157	0.000129746
2.65	100	-0.359439	-0.360746	0.00011992
2.70	100	-0.353391	-0.35474	0.000113365
2.75	100	-0.346345	-0.34875	0.000116771
2.80	100	-0.341622	-0.343013	0.000106742
2.85	100	-0.336154	-0.3374	0.000117757
2.90	100	-0.329799	-0.332036	0.000106259
2.95	100	-0.325763	-0.32665	9.80743e-05
3.00	100	-0.32023	-0.321758	9.32861e-05
