TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.3	100	-8166.67	-8165.33	0.468278
0.35	100	-6989.27	-6987.72	1.89326
0.40	100	-6098.25	-6058.89	3.55852
0.45	100	-5292.15	-5228.55	8.38533
0.50	100	-4335.18	-4418.21	11.4537
0.55	100	-3436.47	-3559.64	11.918
0.60	100	-2778.55	-2747.9	13.0576
0.65	100	-2021.57	-2048.66	11.4094
0.70	100	-1483.33	-1526.19	9.08981
0.75	100	-1149.58	-1146.29	5.52418
0.80	100	-912.497	-869.34	4.52209
0.85	100	-753.092	-674.672	3.0573
0.90	100	-519.769	-537.376	2.33499
0.95	100	-432.191	-438.94	1.88562
1.00	100	-344.772	-363.088	1.44489
1.05	100	-299.506	-303.953	1.07669
1.10	100	-240.03	-257.813	0.933298
1.15	100	-214.044	-222.836	0.676036
1.20	100	-191.227	-193.065	0.564112
1.25	100	-161.851	-168.586	0.591585
1.30	100	-157.376	-148.07	0.429219
1.35	100	-132.683	-132.337	0.422049
1.40	100	-118.586	-118.845	0.341329
1.45	100	-110.411	-107.196	0.310431
1.50	100	-99.2149	-97.3486	0.297574
1.55	100	-89.1574	-88.0618	0.263015
1.60	100	-83.4621	-80.358	0.224046
1.65	100	-74.7977	-73.6417	0.189818
1.70	100	-67.0638	-67.6749	0.195959
1.75	100	-64.9441	-62.6881	0.177759
1.80	100	-61.0057	-58.1754	0.132894
1.85	100	-54.8249	-54.2416	0.135717
1.90	100	-50.8944	-50.0423	0.131348
1.95	100	-47.7251	-46.7781	0.100981
2.00	100	-44.1286	-43.9657	0.111707
2.05	100	-42.9438	-41.032	0.0994135
2.10	100	-37.7805	-38.434	0.10292
2.15	100	-35.8572	-36.1795	0.0831202
2.20	100	-34.4896	-34.1367	0.0794411
2.25	100	-32.1652	-32.2282	0.0738946
2.30	100	-29.8514	-30.4037	0.0818221
2.35	100	-28.2646	-28.879	0.0702821
2.40	100	-26.2962	-27.3469	0.0762549
2.45	100	-25.3371	-25.9773	0.065488
2.50	100	-23.7818	-24.8209	0.0628437
2.55	100	-23.8787	-23.558	0.0591858
2.60	100	-21.6515	-22.466	0.0514831
2.65	100	-21.4926	-21.4424	0.0463463
2.70	100	-20.6181	-20.4677	0.052991
2.75	100	-19.169	-19.5509	0.0463892
2.80	100	-18.8727	-18.7444	0.0483684
2.85	100	-18.2588	-17.9885	0.0467289
2.90	100	-17.9043	-17.2077	0.0408038
2.95	100	-16.2452	-16.6243	0.0413546
3.00	100	-15.4658	-15.9554	0.0371259
