#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.994064	0.994064	0
2	1	0.997032	0.00209869
3	1	0.998021	0.00161557
4	1	0.998516	0.00128518
5	1	0.998813	0.00106186
6	1	0.999011	0.000903134
7	1	0.999152	0.000785095
8	1	0.999258	0.000694077
9	1	0.99934	0.000621835
10	1	0.999406	0.000563138
11	1	0.99946	0.000514523
12	1	0.999505	0.000473607
13	1	0.999543	0.000438702
14	1	0.999576	0.000408577
15	1	0.999604	0.000382315
16	1	0.999629	0.000359219
17	1	0.999651	0.000338751
18	1	0.99967	0.000320486
19	1	0.999688	0.000304088
20	1	0.999703	0.000289285
21	1	0.999717	0.000275854
22	1	0.99973	0.000263615
23	1	0.999742	0.000252414
24	1	0.999753	0.000242126
25	1	0.999763	0.000232643
26	1	0.999772	0.000223874
27	1	0.99978	0.000215742
28	1	0.999788	0.00020818
29	1	0.999795	0.00020113
30	1	0.999802	0.000194541
31	1	0.999809	0.00018837
32	1	0.999815	0.000182579
33	1	0.99982	0.000177132
34	1	0.999825	0.000172002
35	1	0.99983	0.00016716
36	1	0.999835	0.000162583
37	1	0.99984	0.00015825
38	1	0.999844	0.000154141
39	1	0.999848	0.000150241
40	1	0.999852	0.000146533
41	1	0.999855	0.000143004
42	1	0.999859	0.000139641
43	1	0.999862	0.000136432
44	1	0.999865	0.000133367
45	1	0.999868	0.000130437
46	1	0.999871	0.000127633
47	1	0.999874	0.000124947
48	1	0.999876	0.000122372
49	1	0.999879	0.0001199
50	1	0.999881	0.000117527
51	1	0.999884	0.000115245
52	1	0.999886	0.000113051
53	1	0.999888	0.000110938
54	1	0.99989	0.000108903
55	1	0.999892	0.000106942
56	1	0.999894	0.000105049
57	1	0.999896	0.000103223
58	1	0.999898	0.000101459
59	1	0.999899	9.97539e-05
60	1	0.999901	9.81054e-05
61	1	0.999903	9.65105e-05
62	1	0.999904	9.49667e-05
63	1	0.999906	9.34714e-05
64	1	0.999907	9.20225e-05
65	1	0.999909	9.06179e-05
66	1	0.99991	8.92554e-05
67	1	0.999911	8.79334e-05
68	1	0.999913	8.66499e-05
69	1	0.999914	8.54033e-05
70	1	0.999915	8.41921e-05
71	1	0.999916	8.30148e-05
72	1	0.999918	8.18699e-05
73	1	0.999919	8.07562e-05
74	1	0.99992	7.96724e-05
75	1	0.999921	7.86173e-05
76	1	0.999922	7.75897e-05
77	1	0.999923	7.65887e-05
78	1	0.999924	7.56132e-05
79	1	0.999925	7.46622e-05
80	1	0.999926	7.37348e-05
81	1	0.999927	7.28302e-05
82	1	0.999928	7.19475e-05
83	1	0.999928	7.10859e-05
84	1	0.999929	7.02448e-05
85	1	0.99993	6.94233e-05
86	1	0.999931	6.86208e-05
87	1	0.999932	6.78366e-05
88	1	0.999933	6.70702e-05
89	1	0.999933	6.63209e-05
90	1	0.999934	6.55881e-05
91	1	0.999935	6.48714e-05
92	1	0.999935	6.41701e-05
93	1	0.999936	6.34839e-05
94	1	0.999937	6.28121e-05
95	1	0.999938	6.21545e-05
96	1	0.999938	6.15104e-05
97	1	0.999939	6.08796e-05
98	1	0.999939	6.02616e-05
99	1	0.99994	5.9656e-05
100	1	0.999941	5.90625e-05
