#BLOCK:	ACTUAL_CV:	CV_AVE:	ERROR:
1	0.119101	0.119101	0
2	0	0.0595506	0.0421086
3	0	0.0397004	0.0324152
4	0	0.0297753	0.0257861
5	0	0.0238202	0.0213055
6	0	0.0198502	0.0181207
7	0	0.0170144	0.0157523
8	0	0.0148876	0.0139261
9	0	0.0132335	0.0124766
10	0	0.0119101	0.0112989
11	0	0.0108274	0.0103235
12	0	0.00992509	0.00950255
13	0	0.00916162	0.0088022
14	0	0.00850722	0.00819777
15	0	0.00794007	0.00767084
16	0	0.00744382	0.00720745
17	0	0.00700595	0.00679677
18	0	0.00661673	0.0064303
19	0	0.00626848	0.00610129
20	0	0.00595506	0.00580427
21	0	0.00567148	0.0055348
22	0	0.00541369	0.00528922
23	0	0.00517831	0.00506449
24	0	0.00496255	0.00485806
25	0	0.00476404	0.00466779
26	0	0.00458081	0.00449186
27	0	0.00441115	0.00432869
28	0	0.00425361	0.00417696
29	0	0.00410694	0.0040355
30	0	0.00397004	0.00390331
31	0	0.00384197	0.0037795
32	0	0.00372191	0.00366329
33	0	0.00360912	0.00355402
34	0	0.00350297	0.00345108
35	0	0.00340289	0.00335392
36	0	0.00330836	0.00326209
37	0	0.00321895	0.00317515
38	0	0.00313424	0.00309273
39	0	0.00305387	0.00301447
40	0	0.00297753	0.00294007
41	0	0.00290491	0.00286926
42	0	0.00283574	0.00280178
43	0	0.00276979	0.0027374
44	0	0.00270684	0.00267591
45	0	0.00264669	0.00261712
46	0	0.00258915	0.00256086
47	0	0.00253407	0.00250696
48	0	0.00248127	0.00245529
49	0	0.00243064	0.0024057
50	0	0.00238202	0.00235808
51	0	0.00233532	0.00231231
52	0	0.00229041	0.00226828
53	0	0.00224719	0.00222589
54	0	0.00220558	0.00218506
55	0	0.00216547	0.0021457
56	0	0.00212681	0.00210773
57	0	0.00208949	0.00207108
58	0	0.00205347	0.00203569
59	0	0.00201866	0.00200148
60	0	0.00198502	0.00196841
61	0	0.00195248	0.00193641
62	0	0.00192099	0.00190543
63	0	0.00189049	0.00187543
64	0	0.00186095	0.00184636
65	0	0.00183232	0.00181818
66	0	0.00180456	0.00179084
67	0	0.00177763	0.00176431
68	0	0.00175149	0.00173856
69	0	0.0017261	0.00171355
70	0	0.00170144	0.00168925
71	0	0.00167748	0.00166563
72	0	0.00165418	0.00164265
73	0	0.00163152	0.00162031
74	0	0.00160947	0.00159856
75	0	0.00158801	0.00157739
76	0	0.00156712	0.00155678
77	0	0.00154677	0.00153669
78	0	0.00152694	0.00151712
79	0	0.00150761	0.00149804
80	0	0.00148876	0.00147943
81	0	0.00147038	0.00146128
82	0	0.00145245	0.00144357
83	0	0.00143495	0.00142628
84	0	0.00141787	0.00140941
85	0	0.00140119	0.00139292
86	0	0.0013849	0.00137682
87	0	0.00136898	0.00136109
88	0	0.00135342	0.00134571
89	0	0.00133821	0.00133068
90	0	0.00132335	0.00131597
91	0	0.0013088	0.00130159
92	0	0.00129458	0.00128752
93	0	0.00128066	0.00127375
94	0	0.00126703	0.00126028
95	0	0.0012537	0.00124708
96	0	0.00124064	0.00123416
97	0	0.00122785	0.0012215
98	0	0.00121532	0.0012091
99	0	0.00120304	0.00119695
100	0	0.00119101	0.00118504
