#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	-8102.03	-8102.03	0
2	-8166.57	-8134.3	22.8169
3	-8166.63	-8145.08	17.5732
4	-8161.95	-8149.3	13.6769
5	-8055.59	-8130.56	20.0177
6	-8166.47	-8136.54	17.5537
7	-8116.9	-8133.74	15.2686
8	-8120.36	-8132.07	13.4512
9	-8166.6	-8135.9	12.492
10	-8140.72	-8136.38	11.2521
11	-8166.63	-8139.13	10.5599
12	-8166.47	-8141.41	9.92257
13	-8155.03	-8142.46	9.2144
14	-8166.67	-8144.19	8.71695
15	-8165.39	-8145.6	8.24961
16	-8166.41	-8146.9	7.83583
17	-8166.54	-8148.06	7.45954
18	-8165.85	-8149.05	7.11035
19	-8086.22	-8145.74	7.46548
20	-8146.86	-8145.8	7.09242
21	-8153.21	-8146.15	6.76348
22	-8166.44	-8147.07	6.51866
23	-8166.6	-8147.92	6.2903
24	-8166.32	-8148.69	6.07473
25	-8166.63	-8149.41	5.87401
26	-8166.67	-8150.07	5.68548
27	-8153.91	-8150.21	5.47669
28	-8164.71	-8150.73	5.30553
29	-8166.63	-8151.28	5.15085
30	-8166.67	-8151.79	5.00463
31	-8163.94	-8152.18	4.85851
32	-8166.67	-8152.64	4.72772
33	-8166.67	-8153.06	4.60354
34	-8163.74	-8153.37	4.47885
35	-8166.51	-8153.75	4.36658
36	-8166.6	-8154.11	4.25986
37	-8166.47	-8154.44	4.15782
38	-8166.11	-8154.75	4.05972
39	-8145.58	-8154.51	3.96242
40	-8166.54	-8154.81	3.87475
41	-8166.67	-8155.1	3.79101
42	-8158.39	-8155.18	3.70155
43	-8085.03	-8153.55	3.95866
44	-8166.6	-8153.85	3.87979
45	-8156.98	-8153.92	3.7942
46	-8166.47	-8154.19	3.72152
47	-8165.93	-8154.44	3.65071
48	-8078.52	-8152.86	3.90228
49	-8166.57	-8153.14	3.83266
50	-8166.67	-8153.41	3.76555
51	-8156.13	-8153.46	3.69209
52	-8126.25	-8152.94	3.65797
53	-8166.67	-8153.2	3.59812
54	-8166.67	-8153.45	3.54012
55	-8166.67	-8153.69	3.4839
56	-8166.1	-8153.91	3.42874
57	-8166.67	-8154.13	3.37588
58	-8166.67	-8154.35	3.32459
59	-8165.8	-8154.54	3.2739
60	-8155.17	-8154.55	3.21935
61	-8166.51	-8154.75	3.17253
62	-8166.26	-8154.93	3.12679
63	-8166.57	-8155.12	3.08261
64	-8142.57	-8154.92	3.04068
65	-8166.63	-8155.1	2.99923
66	-8166.67	-8155.28	2.9589
67	-8166.54	-8155.45	2.91951
68	-8166.67	-8155.61	2.88123
69	-8165.57	-8155.76	2.84309
70	-8126.38	-8155.34	2.83328
71	-8166.57	-8155.49	2.79779
72	-8165.99	-8155.64	2.76272
73	-8166.67	-8155.79	2.729
74	-7994.01	-8153.6	3.45869
75	-8166.67	-8153.78	3.41696
76	-8166.32	-8153.94	3.37598
77	-8166.57	-8154.11	3.33612
78	-8166.67	-8154.27	3.29723
79	-8163.38	-8154.38	3.25751
80	-8166.01	-8154.53	3.22003
81	-8166.67	-8154.68	3.18376
82	-8166.67	-8154.83	3.14829
83	-8166.67	-8154.97	3.11359
84	-8081.08	-8154.09	3.19837
85	-8166.63	-8154.24	3.16415
86	-8166.42	-8154.38	3.13053
87	-8164.66	-8154.5	3.09677
88	-8166.6	-8154.63	3.06464
89	-8166.67	-8154.77	3.03318
90	-8166.04	-8154.89	3.00206
91	-8166.25	-8155.02	2.97167
92	-8165.64	-8155.13	2.94161
93	-8079.01	-8154.32	3.0217
94	-8165.81	-8154.44	2.99203
95	-8166.67	-8154.57	2.9633
96	-8166.54	-8154.69	2.93506
97	-8166.67	-8154.81	2.90739
98	-8166.35	-8154.93	2.88011
99	-8166.67	-8155.05	2.85346
100	-8166.67	-8155.17	2.82728
