#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-0.999148	-0.999148	0
2	-0.999992	-0.99957	0.000298399
3	-0.999996	-0.999712	0.000230254
4	-0.999888	-0.999756	0.000176845
5	-0.998652	-0.999535	0.000242935
6	-0.999984	-0.99961	0.000213651
7	-0.999316	-0.999568	0.000187212
8	-0.999352	-0.999541	0.000165746
9	-0.999992	-0.999591	0.00015472
10	-0.999616	-0.999594	0.000139268
11	-0.999996	-0.99963	0.000131324
12	-0.99998	-0.999659	0.000123573
13	-0.99976	-0.999667	0.00011431
14	-1	-0.999691	0.000108591
15	-0.999948	-0.999708	0.000102695
16	-0.999976	-0.999725	9.76334e-05
17	-0.999988	-0.99974	9.31102e-05
18	-0.99996	-0.999752	8.87342e-05
19	-0.998876	-0.999706	9.53028e-05
20	-0.99968	-0.999705	9.05467e-05
21	-0.999684	-0.999704	8.62405e-05
22	-0.999988	-0.999717	8.3281e-05
23	-0.999992	-0.999729	8.05144e-05
24	-0.99998	-0.999739	7.78366e-05
25	-0.999996	-0.99975	7.53972e-05
26	-1	-0.999759	7.31098e-05
27	-0.999776	-0.99976	7.04047e-05
28	-0.99994	-0.999766	6.81836e-05
29	-0.999996	-0.999774	6.62909e-05
30	-1	-0.999782	6.45071e-05
31	-0.999928	-0.999786	6.25985e-05
32	-1	-0.999793	6.0997e-05
33	-1	-0.999799	5.94699e-05
34	-0.999896	-0.999802	5.77886e-05
35	-0.999992	-0.999808	5.63913e-05
36	-0.999992	-0.999813	5.50568e-05
37	-0.999988	-0.999818	5.37721e-05
38	-0.999976	-0.999822	5.25185e-05
39	-0.999664	-0.999818	5.13273e-05
40	-0.999988	-0.999822	5.02205e-05
41	-1	-0.999826	4.91831e-05
42	-0.999808	-0.999826	4.8014e-05
43	-0.998944	-0.999805	5.10895e-05
44	-0.999996	-0.99981	5.01118e-05
45	-0.999848	-0.99981	4.90055e-05
46	-0.99998	-0.999814	4.80785e-05
47	-0.999968	-0.999817	4.71668e-05
48	-0.998884	-0.999798	5.00328e-05
49	-0.999988	-0.999802	4.91617e-05
50	-1	-0.999806	4.83379e-05
51	-0.999792	-0.999806	4.73909e-05
52	-0.999516	-0.9998	4.68055e-05
53	-1	-0.999804	4.60743e-05
54	-1	-0.999807	4.53641e-05
55	-1	-0.999811	4.46743e-05
56	-0.999972	-0.999814	4.3969e-05
57	-1	-0.999817	4.33188e-05
58	-1	-0.99982	4.26866e-05
59	-0.999956	-0.999823	4.20251e-05
60	-0.999748	-0.999821	4.13431e-05
61	-0.999992	-0.999824	4.07599e-05
62	-0.999976	-0.999827	4.01761e-05
63	-0.999992	-0.999829	3.96242e-05
64	-0.99964	-0.999826	3.91151e-05
65	-0.999996	-0.999829	3.86005e-05
66	-1	-0.999831	3.81027e-05
67	-0.999992	-0.999834	3.76093e-05
68	-1	-0.999836	3.71356e-05
69	-0.999944	-0.999838	3.66302e-05
70	-0.999456	-0.999832	3.65107e-05
71	-0.999992	-0.999835	3.60657e-05
72	-0.999972	-0.999836	3.56152e-05
73	-1	-0.999839	3.51977e-05
74	-0.99796	-0.999813	4.29125e-05
75	-1	-0.999816	4.24124e-05
76	-0.99998	-0.999818	4.19093e-05
77	-0.999992	-0.99982	4.14259e-05
78	-1	-0.999823	4.09589e-05
79	-0.999904	-0.999824	4.04534e-05
80	-0.999968	-0.999825	3.99879e-05
81	-1	-0.999828	3.95523e-05
82	-1	-0.99983	3.91258e-05
83	-1	-0.999832	3.87082e-05
84	-0.999028	-0.999822	3.94122e-05
85	-0.999996	-0.999824	3.90016e-05
86	-0.999988	-0.999826	3.85945e-05
87	-0.99994	-0.999827	3.81731e-05
88	-0.999996	-0.999829	3.77874e-05
89	-1	-0.999831	3.74115e-05
90	-0.999968	-0.999833	3.70266e-05
91	-0.999968	-0.999834	3.66495e-05
92	-0.999964	-0.999836	3.62783e-05
93	-0.999064	-0.999827	3.68249e-05
94	-0.999964	-0.999829	3.64618e-05
95	-1	-0.999831	3.61225e-05
96	-0.999988	-0.999832	3.57834e-05
97	-1	-0.999834	3.54563e-05
98	-0.999984	-0.999836	3.51275e-05
99	-1	-0.999837	3.48119e-05
100	-1	-0.999839	3.45019e-05
