TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2		100	0
0.25		100	1.538e-05
0.30		100	0.0001534
0.35		100	0.00097352
0.40		100	0.00439742
0.45		100	0.0123237
0.50		100	0.0261623
0.55		100	0.0450046
0.60		100	0.0656
0.65		100	0.0863272
0.70		100	0.107882
0.75		100	0.129706
0.80		100	0.151828
0.85		100	0.173444
0.90		100	0.195286
0.95		100	0.21701
1.00		100	0.238281
1.05		100	0.258917
1.10		100	0.279218
1.15		100	0.298824
1.20		100	0.317852
1.25		100	0.335953
1.30		100	0.353587
1.35		100	0.370322
1.40		100	0.386534
1.45		100	0.40215
1.50		100	0.417045
1.55		100	0.431592
1.60		100	0.445343
1.65		100	0.458555
1.70		100	0.471357
1.75		100	0.483594
1.80		100	0.495193
1.85		100	0.506535
1.90		100	0.517354
1.95		100	0.527735
2.00		100	0.537857
2.05		100	0.547559
2.10		100	0.55687
2.15		100	0.565694
2.20		100	0.574351
2.25		100	0.58265
2.30		100	0.590688
2.35		100	0.598472
2.40		100	0.605965
2.45		100	0.613125
2.50		100	0.620067
2.55		100	0.626863
2.60		100	0.633314
2.65		100	0.639585
2.70		100	0.645757
2.75		100	0.651618
2.80		100	0.657423
2.85		100	0.662925
2.90		100	0.668302
2.95		100	0.673465
3.00		100	0.678564
