TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2	100	0	0	0
0.25	100	0	0.000959168	0.000539575
0.30	100	0	0.00671102	0.00147778
0.35	100	0.0396171	0.0313523	0.00282666
0.40	100	0.086077	0.104581	0.00417008
0.45	100	0.159527	0.216219	0.00421726
0.50	100	0.305185	0.32927	0.00267956
0.55	100	0.411886	0.398357	0.00198005
0.60	100	0.427838	0.419652	0.0017822
0.65	100	0.420754	0.427643	0.00209715
0.70	100	0.442108	0.432664	0.00163236
0.75	100	0.468388	0.435405	0.00129573
0.80	100	0.442431	0.438313	0.00104213
0.85	100	0.454023	0.439299	0.000904188
0.90	100	0.442707	0.435645	0.00086862
0.95	100	0.42655	0.428668	0.000796703
1.00	100	0.413317	0.420288	0.000690346
1.05	100	0.402257	0.408984	0.000639671
1.10	100	0.396033	0.397326	0.000610252
1.15	100	0.383494	0.383768	0.000545919
1.20	100	0.364286	0.37075	0.000524286
1.25	100	0.344603	0.357296	0.000556756
1.30	100	0.337222	0.34399	0.000405016
1.35	100	0.319256	0.33115	0.000378596
1.40	100	0.314922	0.318446	0.000379602
1.45	100	0.303855	0.305915	0.000361055
1.50	100	0.291954	0.293775	0.000352154
1.55	100	0.280901	0.282038	0.000354024
1.60	100	0.269935	0.270534	0.000351546
1.65	100	0.265009	0.259734	0.000335985
1.70	100	0.256419	0.249249	0.000329614
1.75	100	0.244745	0.239547	0.000247331
1.80	100	0.230732	0.230209	0.000254472
1.85	100	0.222979	0.221305	0.000219586
1.90	100	0.214403	0.212692	0.000225946
1.95	100	0.210265	0.204606	0.00021164
2.00	100	0.202638	0.196674	0.000219631
2.05	100	0.193536	0.18936	0.000199144
2.10	100	0.186108	0.182236	0.000191357
2.15	100	0.179516	0.175508	0.000193544
2.20	100	0.172247	0.169169	0.000177469
2.25	100	0.166827	0.163192	0.000169288
2.30	100	0.159501	0.157285	0.000168696
2.35	100	0.154291	0.152011	0.000169863
2.40	100	0.149838	0.146719	0.00015445
2.45	100	0.144919	0.141698	0.000157898
2.50	100	0.138812	0.137101	0.000137781
2.55	100	0.132477	0.132532	0.000144874
2.60	100	0.128882	0.12814	0.000121786
2.65	100	0.124176	0.123909	0.000116776
2.70	100	0.121427	0.119885	0.00011161
2.75	100	0.116711	0.116201	0.000114473
2.80	100	0.114143	0.112707	0.000107901
2.85	100	0.108526	0.109273	0.000106106
2.90	100	0.10697	0.10587	0.000113351
2.95	100	0.104389	0.102686	0.000103177
3.00	100	0.100425	0.099652	0.000107668
