TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2	100	1	1	1.49012e-09
0.25	100	-1	-0.847317	0.0522189
0.30	100	1	-0.0311562	0.0977803
0.35	100	-0.991678	-0.243799	0.0850848
0.40	100	0.866048	0.0952442	0.0630682
0.45	100	0.48291	-0.0159539	0.0380945
0.50	100	0.38885	-0.0064844	0.0254882
0.55	100	-0.129	-0.024413	0.0149551
0.60	100	0.088196	-0.00669244	0.0111436
0.65	100	-0.017372	-0.0166868	0.00618007
0.70	100	-0.017598	-0.00596308	0.00509145
0.75	100	-0.00199	-0.00082784	0.00409457
0.80	100	-0.014078	0.00546638	0.00306522
0.85	100	0.020374	0.00301546	0.00266566
0.90	100	0.012192	-0.0025206	0.00214816
0.95	100	-0.006648	0.00041074	0.00174216
1.00	100	-0.032228	0.00055326	0.00146354
1.05	100	0.00353	0.00020298	0.00135846
1.10	100	-0.000978	0.00017508	0.00119055
1.15	100	-0.004318	3.35e-05	0.000955886
1.20	100	0.000556	-0.00011518	0.00088971
1.25	100	-0.0108	0.00159638	0.000908974
1.30	100	0.009854	-0.00032382	0.000837214
1.35	100	-0.002132	-0.00078986	0.000731707
1.40	100	-0.004832	-0.00049142	0.00070713
1.45	100	0.002122	0.00036404	0.000677979
1.50	100	-0.010312	-0.00110852	0.000572903
1.55	100	0.000502	0.0008296	0.000535784
1.60	100	0.000564	0.00061218	0.000533128
1.65	100	-0.00228	0.00038728	0.000473199
1.70	100	-0.000894	-1.148e-05	0.000503074
1.75	100	0.002552	-7.292e-05	0.000457601
1.80	100	0.00127	-0.00019708	0.000481101
1.85	100	0.005274	0.00025268	0.000414277
1.90	100	0.003942	1.906e-05	0.000370975
1.95	100	0.001228	0.0002016	0.000397887
2.00	100	0.003668	-7.75e-05	0.000364577
2.05	100	0.001554	-0.00036036	0.000352662
2.10	100	0.005014	-0.00017098	0.00031853
2.15	100	0.000276	0.00017116	0.000293416
2.20	100	0.002808	0.00027184	0.000324358
2.25	100	-0.008654	0.00037196	0.000299415
2.30	100	-0.003406	-0.00014018	0.000277189
2.35	100	-0.002794	0.00011886	0.000319684
2.40	100	-0.002488	-0.00022642	0.000292068
2.45	100	-0.00121	-0.00023048	0.000295749
2.50	100	-0.001774	-0.00029424	0.000304287
2.55	100	-0.002248	-0.00042504	0.000314314
2.60	100	-0.002858	-0.00018302	0.000313882
2.65	100	0.002208	0.00031528	0.000278526
2.70	100	0.006542	1.522e-05	0.000271477
2.75	100	0.002318	-0.00072634	0.000293429
2.80	100	-0.001458	3.09e-05	0.000248025
2.85	100	-0.002822	-0.00037932	0.000251931
2.90	100	-0.000882	-0.0002466	0.00026442
2.95	100	0.000978	-0.00018692	0.000258884
3.00	100	-0.00164	-0.00012644	0.000242444
