TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2	100	-1	-1	0
0.25	100	-1	-0.999985	8.4926e-06
0.30	100	-1	-0.999847	3.38291e-05
0.35	100	-0.998776	-0.999026	8.9485e-05
0.40	100	-0.996412	-0.995605	0.00018445
0.45	100	-0.991164	-0.987677	0.000275241
0.50	100	-0.976928	-0.973839	0.000317473
0.55	100	-0.952352	-0.95499	0.000375453
0.60	100	-0.933748	-0.93439	0.000341267
0.65	100	-0.912924	-0.913694	0.000249541
0.70	100	-0.89132	-0.892169	0.000254841
0.75	100	-0.866864	-0.870306	0.000230424
0.80	100	-0.846876	-0.848164	0.000202433
0.85	100	-0.82596	-0.826581	0.000193583
0.90	100	-0.799212	-0.804729	0.00020005
0.95	100	-0.782112	-0.782977	0.000180007
1.00	100	-0.761352	-0.761786	0.000174888
1.05	100	-0.739596	-0.741136	0.000158808
1.10	100	-0.720052	-0.720802	0.000147856
1.15	100	-0.70034	-0.701206	0.000148122
1.20	100	-0.684088	-0.68215	0.00015488
1.25	100	-0.664976	-0.664039	0.000141256
1.30	100	-0.645088	-0.646404	0.000147678
1.35	100	-0.628564	-0.629631	0.00015514
1.40	100	-0.611772	-0.613451	0.000139994
1.45	100	-0.597256	-0.597834	0.000141405
1.50	100	-0.581496	-0.583011	0.000145994
1.55	100	-0.567652	-0.568467	0.000128101
1.60	100	-0.553844	-0.554714	0.000129567
1.65	100	-0.541504	-0.541462	0.00011744
1.70	100	-0.528696	-0.528642	0.000115367
1.75	100	-0.518576	-0.51638	0.000125756
1.80	100	-0.505392	-0.504818	0.000120689
1.85	100	-0.49338	-0.493482	0.000119088
1.90	100	-0.483552	-0.482542	0.000121465
1.95	100	-0.47342	-0.472159	0.000118959
2.00	100	-0.462088	-0.462027	0.000115399
2.05	100	-0.452856	-0.452375	0.000107263
2.10	100	-0.442992	-0.44304	0.000108565
2.15	100	-0.433756	-0.434211	0.000111352
2.20	100	-0.425332	-0.425548	0.000112952
2.25	100	-0.417016	-0.417235	0.000115742
2.30	100	-0.409104	-0.409187	0.000124751
2.35	100	-0.401556	-0.401431	0.000121033
2.40	100	-0.39364	-0.393983	0.000121777
2.45	100	-0.385436	-0.386748	0.00012143
2.50	100	-0.37822	-0.379849	0.00012497
2.55	100	-0.372296	-0.373087	0.000110313
2.60	100	-0.3661	-0.366585	0.000117346
2.65	100	-0.359768	-0.36036	0.000122739
2.70	100	-0.35294	-0.354181	0.000110111
2.75	100	-0.345972	-0.34836	0.000118944
2.80	100	-0.340192	-0.342534	0.000110562
2.85	100	-0.334292	-0.337149	0.000121599
2.90	100	-0.329864	-0.331663	0.000115933
2.95	100	-0.325548	-0.326457	0.000103924
3.00	100	-0.32056	-0.32137	0.000103716
