TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
0.2	100	250	250	2.6974e-07
0.25	100	200	199.978	0.0139853
0.30	100	166.667	166.45	0.0555705
0.35	100	141.247	141.692	0.127134
0.40	100	120.767	120.352	0.22474
0.45	100	102.972	99.6958	0.295162
0.50	100	81.3622	78.7286	0.313294
0.55	100	56.5302	59.218	0.323185
0.60	100	43.5966	43.6346	0.258543
0.65	100	31.8658	32.7337	0.186762
0.70	100	25.5141	24.6833	0.143634
0.75	100	19.1222	19.0971	0.10016
0.80	100	14.4183	15.1301	0.0717682
0.85	100	12.5762	12.4012	0.0528851
0.90	100	9.16246	10.3234	0.0463354
0.95	100	8.68399	8.63191	0.0301823
1.00	100	7.53566	7.39518	0.0255315
1.05	100	6.08643	6.40415	0.0183125
1.10	100	5.56806	5.58323	0.0179237
1.15	100	5.07024	4.94963	0.0132114
1.20	100	4.38205	4.41765	0.0108636
1.25	100	3.94348	3.97042	0.0095665
1.30	100	3.52069	3.57251	0.00903384
1.35	100	3.20924	3.25855	0.00733853
1.40	100	2.95591	2.98245	0.00753885
1.45	100	2.66975	2.73411	0.00597961
1.50	100	2.43457	2.52662	0.00514228
1.55	100	2.35935	2.34669	0.00440462
1.60	100	2.11003	2.17445	0.00381392
1.65	100	2.00406	2.03923	0.00334336
1.70	100	1.90752	1.90412	0.00351821
1.75	100	1.79856	1.79443	0.00297877
1.80	100	1.65727	1.69185	0.00268439
1.85	100	1.57541	1.59695	0.00277267
1.90	100	1.48519	1.50762	0.00246379
1.95	100	1.45408	1.42879	0.0022144
2.00	100	1.39605	1.35374	0.00218031
2.05	100	1.32216	1.29404	0.00214473
2.10	100	1.26409	1.23056	0.00198593
2.15	100	1.15873	1.17891	0.001705
2.20	100	1.14954	1.12821	0.00168955
2.25	100	1.1119	1.08163	0.00163659
2.30	100	1.03632	1.03961	0.00164022
2.35	100	0.965445	0.994889	0.00153335
2.40	100	0.95305	0.956333	0.00126358
2.45	100	0.906728	0.923406	0.00137282
2.50	100	0.885339	0.889671	0.00144709
2.55	100	0.855347	0.8564	0.00126638
2.60	100	0.834134	0.829754	0.00108806
2.65	100	0.796773	0.800562	0.000911556
2.70	100	0.784061	0.775017	0.00100015
2.75	100	0.76111	0.752257	0.000941185
2.80	100	0.710079	0.729362	0.000910611
2.85	100	0.694039	0.707731	0.000870695
2.90	100	0.671417	0.686364	0.000924664
2.95	100	0.677477	0.667743	0.000775247
3.00	100	0.651384	0.6487	0.000827998
