TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3		100	3.291e-05
.35		100	0.00029779
.40		100	0.00159597
.45		100	0.00557155
.50		100	0.0136857
.55		100	0.0281101
.60		100	0.0475607
.65		100	0.0702672
.70		100	0.0937623
.75		100	0.117244
.80		100	0.141201
.85		100	0.164654
.90		100	0.18731
.95		100	0.209487
1.00		100	0.231126
1.05		100	0.252285
1.10		100	0.272873
1.15		100	0.292541
1.20		100	0.311682
1.25		100	0.330172
1.30		100	0.348045
1.35		100	0.364918
1.40		100	0.381243
1.45		100	0.396966
1.50		100	0.412018
1.55		100	0.42673
1.60		100	0.440562
1.65		100	0.453985
1.70		100	0.466879
1.75		100	0.479008
1.80		100	0.490796
1.85		100	0.502127
1.90		100	0.513083
1.95		100	0.523493
2.00		100	0.533621
2.05		100	0.54335
2.10		100	0.552693
2.15		100	0.561792
2.20		100	0.570476
2.25		100	0.57877
2.30		100	0.586889
2.35		100	0.594706
2.40		100	0.602258
2.45		100	0.609462
2.50		100	0.616547
2.55		100	0.623237
2.60		100	0.629795
2.65		100	0.636161
2.70		100	0.642356
2.75		100	0.64836
2.80		100	0.65416
2.85		100	0.659787
2.90		100	0.665219
2.95		100	0.670501
3.00		100	0.67551
