TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3	100	-3.20731e-14	0.000761588	0.000154908
.35	100	0.00465266	0.00500668	0.000482907
.40	100	0.0102918	0.0204612	0.000803406
.45	100	0.0397563	0.0557254	0.00157443
.50	100	0.116871	0.11007	0.00192192
.55	100	0.20346	0.185276	0.00180231
.60	100	0.258313	0.26056	0.00187188
.65	100	0.338526	0.324225	0.00151878
.70	100	0.380417	0.367913	0.00110045
.75	100	0.397852	0.395275	0.000726373
.80	100	0.405216	0.412324	0.000663814
.85	100	0.414768	0.419667	0.000436573
.90	100	0.424763	0.41973	0.000383259
.95	100	0.418193	0.415502	0.000355672
1.00	100	0.413336	0.408034	0.000279768
1.05	100	0.402658	0.398632	0.000196066
1.10	100	0.391095	0.387828	0.000184738
1.15	100	0.378465	0.375588	0.000165023
1.20	100	0.362805	0.363064	0.00014179
1.25	100	0.350471	0.350289	0.000122354
1.30	100	0.337078	0.337462	0.000110124
1.35	100	0.325046	0.324495	9.59708e-05
1.40	100	0.312544	0.311873	9.62123e-05
1.45	100	0.300332	0.299548	8.21502e-05
1.50	100	0.288125	0.287631	6.7859e-05
1.55	100	0.276229	0.276259	6.03318e-05
1.60	100	0.265021	0.265184	5.86411e-05
1.65	100	0.254298	0.25464	5.12973e-05
1.70	100	0.244238	0.244561	4.46833e-05
1.75	100	0.234536	0.234837	3.81454e-05
1.80	100	0.225401	0.225592	3.70498e-05
1.85	100	0.21667	0.216778	3.79637e-05
1.90	100	0.208221	0.208414	3.3339e-05
1.95	100	0.200143	0.200431	2.97061e-05
2.00	100	0.192757	0.192837	2.77732e-05
2.05	100	0.185334	0.185603	2.73765e-05
2.10	100	0.178543	0.178708	2.37049e-05
2.15	100	0.17223	0.17217	2.20214e-05
2.20	100	0.165684	0.165956	1.98541e-05
2.25	100	0.159908	0.159983	1.85942e-05
2.30	100	0.154306	0.154342	1.89349e-05
2.35	100	0.148951	0.148958	1.83596e-05
2.40	100	0.14396	0.143838	1.78237e-05
2.45	100	0.138948	0.138932	1.70511e-05
2.50	100	0.13435	0.134272	1.59769e-05
2.55	100	0.129878	0.129808	1.41752e-05
2.60	100	0.125637	0.12556	1.40298e-05
2.65	100	0.121604	0.121514	1.20574e-05
2.70	100	0.117723	0.117628	1.11537e-05
2.75	100	0.114119	0.113932	1.0853e-05
2.80	100	0.110494	0.110396	9.3608e-06
2.85	100	0.107068	0.107016	9.58885e-06
2.90	100	0.103958	0.103773	8.1931e-06
2.95	100	0.100728	0.100685	6.81164e-06
3.00	100	0.0977816	0.0976994	6.32695e-06
