TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3	100	1	0.999889	4.39526e-05
.35	100	0.99909	0.998776	0.000249287
.40	100	0.997156	0.974517	0.00716349
.45	100	0.976132	0.941492	0.00804055
.50	100	0.909152	0.887783	0.0057861
.55	100	0.76545	0.787877	0.00572306
.60	100	0.66238	0.671148	0.00507764
.65	100	0.56382	0.548509	0.00489696
.70	100	0.401516	0.439961	0.00466103
.75	100	0.366318	0.357381	0.00314174
.80	100	0.311726	0.290254	0.00278992
.85	100	0.295638	0.240265	0.00238532
.90	100	0.184412	0.201111	0.00183969
.95	100	0.153934	0.171279	0.00156209
1.00	100	0.126002	0.146771	0.00136707
1.05	100	0.12535	0.127247	0.00115268
1.10	100	0.099702	0.112266	0.0012095
1.15	100	0.091544	0.0983841	0.00106868
1.20	100	0.09117	0.0880051	0.000894709
1.25	100	0.072048	0.080086	0.00080406
1.30	100	0.0836	0.0711497	0.000741942
1.35	100	0.068752	0.0646496	0.000706397
1.40	100	0.05271	0.0602621	0.000620172
1.45	100	0.063148	0.0548089	0.000636516
1.50	100	0.053948	0.051241	0.00061829
1.55	100	0.0479	0.0477577	0.000541963
1.60	100	0.046806	0.0441479	0.000539712
1.65	100	0.040866	0.0407441	0.000513479
1.70	100	0.040548	0.0382668	0.000525496
1.75	100	0.03961	0.0358745	0.000467907
1.80	100	0.042778	0.0339063	0.000440164
1.85	100	0.037604	0.0318563	0.00041649
1.90	100	0.034022	0.0302256	0.000372904
1.95	100	0.035192	0.0289136	0.000386286
2.00	100	0.03264	0.0282437	0.00039758
2.05	100	0.028704	0.0265314	0.000381848
2.10	100	0.020198	0.0252248	0.000355732
2.15	100	0.018798	0.0235545	0.000374201
2.20	100	0.020028	0.0230066	0.000355118
2.25	100	0.020678	0.0216992	0.000326927
2.30	100	0.01523	0.0209112	0.000311855
2.35	100	0.02129	0.0202393	0.000312257
2.40	100	0.02009	0.0191934	0.000350733
2.45	100	0.019144	0.0185148	0.00032492
2.50	100	0.021804	0.0176861	0.000311279
2.55	100	0.013378	0.0168534	0.000292637
2.60	100	0.01464	0.0167593	0.000278291
2.65	100	0.014758	0.0163859	0.000230232
2.70	100	0.01574	0.0154931	0.000249852
2.75	100	0.01106	0.0149464	0.00027279
2.80	100	0.015884	0.0148345	0.000250719
2.85	100	0.0111	0.0145011	0.000257931
2.90	100	0.014136	0.0136089	0.000237405
2.95	100	0.013534	0.0135393	0.000274217
3.00	100	0.01231	0.0134424	0.000238257
