TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3	100	-1.02	-1.01996	8.01689e-06
.35	100	-1.01969	-1.01966	3.52238e-05
.40	100	-1.0191	-1.01781	0.000164054
.45	100	-1.01537	-1.01302	0.000270107
.50	100	-1.00308	-1.00353	0.000331345
.55	100	-0.983345	-0.986629	0.000369669
.60	100	-0.964612	-0.964317	0.000430975
.65	100	-0.935548	-0.938564	0.000424792
.70	100	-0.908314	-0.912435	0.000370593
.75	100	-0.886402	-0.886885	0.000275458
.80	100	-0.864295	-0.861234	0.000282671
.85	100	-0.839937	-0.83654	0.000219172
.90	100	-0.81014	-0.812911	0.00021099
.95	100	-0.787903	-0.789917	0.000220805
1.00	100	-0.763832	-0.767711	0.000194656
1.05	100	-0.743047	-0.746028	0.000155422
1.10	100	-0.721974	-0.725004	0.000163083
1.15	100	-0.702303	-0.705056	0.000162776
1.20	100	-0.685931	-0.685634	0.000152344
1.25	100	-0.666665	-0.666943	0.000148903
1.30	100	-0.649868	-0.648877	0.000148325
1.35	100	-0.631355	-0.63187	0.000143391
1.40	100	-0.614238	-0.615463	0.00015196
1.45	100	-0.598503	-0.599735	0.000142438
1.50	100	-0.583863	-0.584671	0.000133977
1.55	100	-0.56991	-0.569948	0.000129598
1.60	100	-0.556448	-0.556097	0.000137632
1.65	100	-0.543389	-0.542632	0.000135232
1.70	100	-0.530303	-0.529657	0.000120918
1.75	100	-0.518184	-0.517477	0.000114325
1.80	100	-0.506316	-0.505684	0.000114458
1.85	100	-0.494972	-0.494392	0.000128221
1.90	100	-0.484248	-0.4834	0.000120712
1.95	100	-0.47432	-0.472957	0.000118817
2.00	100	-0.463165	-0.462867	0.000122566
2.05	100	-0.45421	-0.453171	0.000127171
2.10	100	-0.444324	-0.443913	0.000115484
2.15	100	-0.433944	-0.434819	0.000117413
2.20	100	-0.427037	-0.426091	0.000114909
2.25	100	-0.418038	-0.417898	0.000112432
2.30	100	-0.409453	-0.409794	0.000118415
2.35	100	-0.40181	-0.402013	0.000123877
2.40	100	-0.39323	-0.394437	0.000130237
2.45	100	-0.386679	-0.38732	0.00013198
2.50	100	-0.379488	-0.380279	0.000133587
2.55	100	-0.372764	-0.373614	0.000128822
2.60	100	-0.366213	-0.367156	0.000129708
2.65	100	-0.359439	-0.360745	0.000119915
2.70	100	-0.353391	-0.35474	0.000113356
2.75	100	-0.346345	-0.34875	0.000116797
2.80	100	-0.341622	-0.343015	0.000106839
2.85	100	-0.336154	-0.3374	0.00011777
2.90	100	-0.329799	-0.332037	0.000106267
2.95	100	-0.325763	-0.32665	9.80849e-05
3.00	100	-0.32023	-0.321758	9.32881e-05
