TEMP	#BLOCK	ACTUAL	AVERAGE	ERROR
.3	100	-8166.67	-8165.28	0.469053
.35	100	-6989.27	-6987.69	1.89437
.40	100	-6098.25	-6058.85	3.56332
.45	100	-5292.15	-5228.52	8.38185
.50	100	-4335.18	-4418.19	11.4538
.55	100	-3436.47	-3559.62	11.9179
.60	100	-2778.55	-2747.88	13.0581
.65	100	-2021.57	-2048.65	11.4104
.70	100	-1483.33	-1526.18	9.09077
.75	100	-1149.58	-1146.29	5.52406
.80	100	-912.497	-869.374	4.5202
.85	100	-753.092	-674.678	3.05756
.90	100	-519.769	-537.438	2.3341
.95	100	-432.191	-439.011	1.88799
1.00	100	-344.772	-363.116	1.44263
1.05	100	-299.506	-303.97	1.0751
1.10	100	-240.03	-257.813	0.93321
1.15	100	-214.044	-222.835	0.675959
1.20	100	-191.227	-193.058	0.563837
1.25	100	-161.851	-168.584	0.59159
1.30	100	-157.376	-148.061	0.427931
1.35	100	-132.683	-132.335	0.421896
1.40	100	-118.586	-118.841	0.34153
1.45	100	-110.411	-107.196	0.310439
1.50	100	-99.2149	-97.3462	0.297488
1.55	100	-89.1574	-88.0589	0.26286
1.60	100	-83.4621	-80.3561	0.22395
1.65	100	-74.7977	-73.6388	0.18956
1.70	100	-67.0638	-67.6735	0.195793
1.75	100	-64.9441	-62.6877	0.177761
1.80	100	-61.0057	-58.1788	0.133277
1.85	100	-54.8249	-54.2408	0.135601
1.90	100	-50.8944	-50.0425	0.131358
1.95	100	-47.7251	-46.7776	0.100942
2.00	100	-44.1286	-43.9684	0.111577
2.05	100	-42.9438	-41.0296	0.0994898
2.10	100	-37.7805	-38.4338	0.102901
2.15	100	-35.8572	-36.175	0.0838548
2.20	100	-34.4896	-34.1369	0.0794635
2.25	100	-32.1652	-32.2278	0.0738939
2.30	100	-29.8514	-30.4033	0.0818604
2.35	100	-28.2646	-28.8785	0.0703015
2.40	100	-26.2962	-27.3462	0.0762862
2.45	100	-25.3371	-25.9764	0.0654271
2.50	100	-23.7818	-24.8205	0.0628555
2.55	100	-23.8787	-23.5564	0.0592894
2.60	100	-21.6515	-22.4658	0.0514666
2.65	100	-21.4926	-21.4424	0.046356
2.70	100	-20.6181	-20.4675	0.0529796
2.75	100	-19.169	-19.5509	0.0463894
2.80	100	-18.8727	-18.7447	0.048413
2.85	100	-18.2588	-17.9884	0.046714
2.90	100	-17.9043	-17.2076	0.0408029
2.95	100	-16.2452	-16.6245	0.0413742
3.00	100	-15.4658	-15.9553	0.0371235
