#BLOCK:	ACTUAL_CV:	CV_AVE:	ERROR:
1	0.000325677	0.000325677	0
2	0.000163046	0.000244361	5.74986e-05
3	0.000651462	0.000380062	0.000117242
4	0.00138146	0.000630411	0.000233962
5	0.000163046	0.000536938	0.000204993
6	0.000163046	0.000474623	0.00018005
7	0.00113834	0.000569439	0.000177548
8	0.00203549	0.000752695	0.000231344
9	0.000244414	0.00069622	0.00021242
10	0.00381313	0.00100791	0.000352115
11	0.000162995	0.0009311	0.000328376
12	0.000652083	0.000907848	0.000301833
13	0.00357779	0.00111323	0.000341413
14	8.15231e-05	0.00103953	0.000324882
15	0.000976825	0.00103535	0.00030325
16	0.000489037	0.00100121	0.000286213
17	0.000244518	0.000956698	0.000272816
18	0.000814408	0.000948793	0.000257774
19	0.00423169	0.00112158	0.000296513
20	0.007105	0.00142075	0.000405433
21	0.00162818	0.00143063	0.000386247
22	0.000488518	0.0013878	0.000371057
23	0.000163046	0.00133455	0.000358724
24	0.00276516	0.00139416	0.000348695
25	8.15231e-05	0.00134166	0.000338677
26	-3.00373e-14	0.00129005	0.000329559
27	0.00138387	0.00129353	0.000317371
28	0.0013024	0.00129385	0.000306037
29	8.15231e-05	0.00125204	0.000298325
30	8.14721e-05	0.00121302	0.000290922
31	0.000895305	0.00120277	0.000281718
32	-3.00373e-14	0.00116519	0.00027541
33	-3.00373e-14	0.00112988	0.000269318
34	0.00309167	0.00118758	0.000267506
35	0.000244416	0.00116063	0.000261217
36	0.000162944	0.00113292	0.000255427
37	0.000976983	0.0011287	0.000248558
38	0.000488678	0.00111186	0.000242587
39	0.00105939	0.00111051	0.000236371
40	0.00032599	0.0010909	0.000231274
41	-3.00373e-14	0.00106429	0.000227158
42	0.000976822	0.00106221	0.000221759
43	0.00802165	0.00122406	0.000269262
44	-3.00373e-14	0.00119624	0.000264575
45	0.00130319	0.00119862	0.000258707
46	0.000244518	0.00117787	0.000253913
47	0.00154791	0.00118575	0.000248632
48	0.0011404	0.0011848	0.000243454
49	0.00130339	0.00118722	0.000238498
50	-3.00373e-14	0.00116348	0.000234907
51	0.000895084	0.00115822	0.00023036
52	0.00591276	0.00124965	0.0002434
53	8.15231e-05	0.00122761	0.000239803
54	-3.00373e-14	0.00120488	0.000236438
55	-3.00373e-14	0.00118297	0.000233152
56	0.000488676	0.00117057	0.000229318
57	-3.00373e-14	0.00115003	0.000226212
58	-3.00373e-14	0.00113021	0.000223179
59	0.000895877	0.00112623	0.000219432
60	0.000488466	0.00111561	0.000216032
61	0.00146455	0.00112133	0.000212566
62	0.000488777	0.00111112	0.000209382
63	0.000162944	0.00109607	0.000206599
64	0.0010584	0.00109548	0.000203372
65	8.15231e-05	0.00107988	0.00020084
66	8.15231e-05	0.00106476	0.000198366
67	0.000162944	0.0010513	0.000195862
68	0.000488362	0.00104302	0.000193156
69	0.000570147	0.00103617	0.000190478
70	0.00260379	0.00105856	0.000189069
71	0.000162995	0.00104595	0.000186826
72	0.000488624	0.00103821	0.000184392
73	-3.00373e-14	0.00102398	0.000182414
74	0.0021966	0.00103983	0.000180636
75	-3.00373e-14	0.00102597	0.000178758
76	0.000407411	0.00101783	0.000176591
77	0.000162995	0.00100673	0.000174647
78	-3.00373e-14	0.000993819	0.000172884
79	0.000325733	0.000985362	0.000170902
80	0.00065162	0.000981191	0.000168817
81	0.000162995	0.000971089	0.000167035
82	8.14721e-05	0.00096024	0.00016535
83	0.00429889	0.00100047	0.000168179
84	0.000489088	0.000994377	0.000166287
85	8.15231e-05	0.000983638	0.000164677
86	0.000244467	0.000975043	0.000162986
87	0.00122001	0.000977859	0.000161137
88	0.00105924	0.000978783	0.000159309
89	0.000244261	0.00097053	0.000157733
90	0.00114056	0.000972419	0.000155991
91	0.00105898	0.000973371	0.00015428
92	0.000488831	0.000968104	0.000152693
93	0.000325888	0.000961198	0.000151207
94	0.000570355	0.00095704	0.000149656
95	-3.00373e-14	0.000946966	0.000148419
96	0.000244518	0.000939649	0.000147053
97	-3.00373e-14	0.000929962	0.000145856
98	0.00146402	0.000935412	0.000144469
99	0.00057056	0.000931726	0.000143057
100	-3.00373e-14	0.000922409	0.00014193
