#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	-7902.87	-7902.87	0
2	-7903.16	-7903.02	0.102645
3	-7902.57	-7902.87	0.140525
4	-7900.44	-7902.26	0.536906
5	-7903.16	-7902.44	0.458919
6	-7903.16	-7902.56	0.397926
7	-7901.22	-7902.37	0.384553
8	-7901	-7902.2	0.372625
9	-7903.04	-7902.29	0.342888
10	-7893.25	-7901.39	0.912
11	-7903.13	-7901.55	0.842782
12	-7902.91	-7901.66	0.780209
13	-7897.01	-7901.3	0.797995
14	-7903.19	-7901.44	0.752358
15	-7902.05	-7901.48	0.703298
16	-7902.98	-7901.57	0.665545
17	-7903.1	-7901.66	0.632448
18	-7902.44	-7901.7	0.59879
19	-7897.55	-7901.49	0.60591
20	-7876.9	-7900.26	1.32908
21	-7901.33	-7900.31	1.26678
22	-7902.69	-7900.42	1.21381
23	-7903.16	-7900.54	1.1669
24	-7898.74	-7900.46	1.12068
25	-7903.19	-7900.57	1.08118
26	-7903.23	-7900.67	1.04441
27	-7901.57	-7900.71	1.00626
28	-7901.63	-7900.74	0.970867
29	-7903.19	-7900.82	0.941075
30	-7903.16	-7900.9	0.912935
31	-7902.07	-7900.94	0.884266
32	-7903.23	-7901.01	0.859516
33	-7903.23	-7901.08	0.836088
34	-7898.7	-7901.01	0.814419
35	-7903.04	-7901.07	0.79322
36	-7903.1	-7901.12	0.773203
37	-7902.13	-7901.15	0.752782
38	-7902.77	-7901.19	0.734175
39	-7902.58	-7901.23	0.716212
40	-7903.04	-7901.27	0.699739
41	-7903.23	-7901.32	0.684291
42	-7902.05	-7901.34	0.668221
43	-7878.9	-7900.82	0.831852
44	-7903.23	-7900.87	0.814747
45	-7902.04	-7900.9	0.797058
46	-7903.1	-7900.94	0.781169
47	-7902.03	-7900.97	0.764889
48	-7902.25	-7900.99	0.749422
49	-7902.16	-7901.02	0.734507
50	-7903.23	-7901.06	0.721143
51	-7901.98	-7901.08	0.707229
52	-7885.16	-7900.77	0.756975
53	-7903.19	-7900.82	0.744068
54	-7903.23	-7900.86	0.731621
55	-7903.23	-7900.91	0.719577
56	-7902.77	-7900.94	0.707496
57	-7903.23	-7900.98	0.696219
58	-7903.23	-7901.02	0.68529
59	-7902.38	-7901.04	0.674064
60	-7902.66	-7901.07	0.663369
61	-7901.11	-7901.07	0.652495
62	-7902.83	-7901.1	0.64259
63	-7903.1	-7901.13	0.633177
64	-7902.05	-7901.15	0.623446
65	-7903.19	-7901.18	0.614651
66	-7903.19	-7901.21	0.606097
67	-7903.1	-7901.24	0.59771
68	-7902.6	-7901.26	0.58926
69	-7902.71	-7901.28	0.581097
70	-7899.54	-7901.25	0.573327
71	-7903.13	-7901.28	0.565863
72	-7902.74	-7901.3	0.55837
73	-7903.23	-7901.33	0.551344
74	-7899.91	-7901.31	0.544226
75	-7903.23	-7901.33	0.537571
76	-7902.95	-7901.35	0.530919
77	-7903.13	-7901.38	0.524526
78	-7903.23	-7901.4	0.518337
79	-7902.89	-7901.42	0.51212
80	-7902.65	-7901.43	0.505949
81	-7903.13	-7901.45	0.500137
82	-7903.16	-7901.48	0.494472
83	-7891.33	-7901.35	0.503388
84	-7903.01	-7901.37	0.49778
85	-7903.19	-7901.39	0.492384
86	-7903.07	-7901.41	0.487044
87	-7901.29	-7901.41	0.481448
88	-7902.49	-7901.42	0.476132
89	-7902.95	-7901.44	0.471093
90	-7902.33	-7901.45	0.465963
91	-7902.34	-7901.46	0.460945
92	-7902.86	-7901.48	0.456184
93	-7902.98	-7901.49	0.451565
94	-7902.82	-7901.51	0.446983
95	-7903.23	-7901.53	0.442644
96	-7903.1	-7901.54	0.438337
97	-7903.23	-7901.56	0.434162
98	-7900.84	-7901.55	0.429793
99	-7902.94	-7901.57	0.425682
100	-7903.23	-7901.58	0.421749
