#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-0.444145	-0.444145	0
2	-0.44373	-0.443937	0.000146852
3	-0.445063	-0.444313	0.000321706
4	-0.444845	-0.444446	0.000267407
5	-0.443667	-0.44429	0.000255294
6	-0.445563	-0.444502	0.000287646
7	-0.444978	-0.44457	0.000254454
8	-0.443115	-0.444388	0.000280234
9	-0.443595	-0.4443	0.000262589
10	-0.443421	-0.444212	0.000250604
11	-0.441666	-0.443981	0.000317174
12	-0.443924	-0.443976	0.000290778
13	-0.442155	-0.443836	0.00030027
14	-0.445039	-0.443922	0.00029085
15	-0.442076	-0.443799	0.000296338
16	-0.443626	-0.443788	0.000278013
17	-0.441687	-0.443664	0.000287816
18	-0.44472	-0.443723	0.000277736
19	-0.443544	-0.443714	0.000263278
20	-0.443932	-0.443725	0.00025034
21	-0.443679	-0.443722	0.000238429
22	-0.443504	-0.443712	0.000227797
23	-0.444372	-0.443741	0.000219689
24	-0.443517	-0.443732	0.000210733
25	-0.442115	-0.443667	0.00021199
26	-0.444731	-0.443708	0.000207746
27	-0.443119	-0.443686	0.000201195
28	-0.442456	-0.443642	0.000198746
29	-0.443383	-0.443633	0.000192094
30	-0.443119	-0.443616	0.000186454
31	-0.444014	-0.443629	0.00018088
32	-0.445404	-0.443685	0.000183538
33	-0.442506	-0.443649	0.000181417
34	-0.444041	-0.44366	0.000176448
35	-0.445122	-0.443702	0.000176282
36	-0.441209	-0.443633	0.000184491
37	-0.44136	-0.443571	0.000189457
38	-0.443601	-0.443572	0.000184473
39	-0.4439	-0.443581	0.000179933
40	-0.445991	-0.443641	0.000185254
41	-0.443328	-0.443633	0.000180893
42	-0.443467	-0.443629	0.000176629
43	-0.44483	-0.443657	0.000174716
44	-0.445234	-0.443693	0.00017438
45	-0.443803	-0.443695	0.000170522
46	-0.443561	-0.443693	0.00016684
47	-0.444174	-0.443703	0.000163605
48	-0.442575	-0.443679	0.000161874
49	-0.442174	-0.443649	0.00016146
50	-0.443879	-0.443653	0.000158296
51	-0.444734	-0.443674	0.000156605
52	-0.445664	-0.443713	0.0001582
53	-0.444619	-0.44373	0.000156138
54	-0.440941	-0.443678	0.000161561
55	-0.44474	-0.443697	0.000159772
56	-0.444795	-0.443717	0.000158116
57	-0.443767	-0.443718	0.000155344
58	-0.44359	-0.443716	0.000152682
59	-0.443809	-0.443717	0.000150102
60	-0.44447	-0.44373	0.000148124
61	-0.444375	-0.44374	0.000146073
62	-0.443938	-0.443744	0.000143751
63	-0.442105	-0.443718	0.000143803
64	-0.446284	-0.443758	0.000147042
65	-0.4451	-0.443778	0.000146223
66	-0.444028	-0.443782	0.000144057
67	-0.443762	-0.443782	0.000141907
68	-0.443823	-0.443782	0.000139821
69	-0.443356	-0.443776	0.000137932
70	-0.444111	-0.443781	0.000136044
71	-0.442725	-0.443766	0.000134939
72	-0.443624	-0.443764	0.000133079
73	-0.445366	-0.443786	0.000133054
74	-0.445516	-0.443809	0.000133294
75	-0.443114	-0.4438	0.000131839
76	-0.444466	-0.443809	0.000130395
77	-0.442728	-0.443795	0.000129455
78	-0.443983	-0.443797	0.000127818
79	-0.444256	-0.443803	0.000126332
80	-0.442916	-0.443792	0.000125239
81	-0.442816	-0.44378	0.000124271
82	-0.444557	-0.443789	0.000123116
83	-0.44665	-0.443824	0.000126365
84	-0.445145	-0.44384	0.000125835
85	-0.443584	-0.443837	0.000124391
86	-0.444404	-0.443843	0.000123119
87	-0.445066	-0.443857	0.000122504
88	-0.445273	-0.443873	0.000122163
89	-0.444743	-0.443883	0.00012118
90	-0.443893	-0.443883	0.000119833
91	-0.44158	-0.443858	0.000121159
92	-0.443327	-0.443852	0.00011998
93	-0.446173	-0.443877	0.000121257
94	-0.443907	-0.443877	0.000119967
95	-0.444975	-0.443889	0.000119259
96	-0.442699	-0.443877	0.00011866
97	-0.444804	-0.443886	0.000117821
98	-0.445216	-0.4439	0.000117398
99	-0.444815	-0.443909	0.000116575
100	-0.444324	-0.443913	0.000115484
