#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.009804	0.009804	0
2	0.009806	0.009805	7.07107e-07
3	0.013352	0.0109873	0.000965371
4	0.012702	0.011416	0.000813654
5	0.01181	0.0114948	0.000654728
6	0.019506	0.01283	0.00133541
7	0.017542	0.0135031	0.0013033
8	0.010878	0.013175	0.00118097
9	0.013112	0.013168	0.00104977
10	0.009618	0.012813	0.00100303
11	0.012958	0.0128262	0.000911929
12	0.011234	0.0126935	0.000845532
13	0.015296	0.0128937	0.000803841
14	0.0145	0.0130084	0.000754568
15	0.016114	0.0132155	0.000732116
16	0.010796	0.0130643	0.000701802
17	0.014762	0.0131641	0.000667587
18	0.013344	0.0131741	0.000630574
19	0.01492	0.013266	0.000604044
20	0.014686	0.013337	0.000577999
21	0.012826	0.0133127	0.000550988
22	0.015346	0.0134051	0.000533638
23	0.014944	0.013472	0.000514614
24	0.014332	0.0135078	0.000494418
25	0.011518	0.0134282	0.000481005
26	0.011956	0.0133716	0.000465826
27	0.011412	0.013299	0.000454192
28	0.013324	0.0132999	0.000437972
29	0.013914	0.0133211	0.000423381
30	0.013546	0.0133286	0.000409334
31	0.017456	0.0134617	0.000417222
32	0.013248	0.0134551	0.000404237
33	0.014938	0.0135	0.000394477
34	0.01317	0.0134903	0.000382994
35	0.01364	0.0134946	0.000372076
36	0.01925	0.0136544	0.000394595
37	0.011952	0.0136084	0.000386604
38	0.014004	0.0136188	0.00037657
39	0.015406	0.0136647	0.000369692
40	0.017796	0.013768	0.0003746
41	0.011526	0.0137133	0.000369432
42	0.009596	0.0136152	0.000373416
43	0.011902	0.0135754	0.000366852
44	0.014006	0.0135852	0.000358645
45	0.016286	0.0136452	0.000355661
46	0.011466	0.0135978	0.00035107
47	0.0158	0.0136447	0.000346713
48	0.016906	0.0137126	0.000346084
49	0.009572	0.0136281	0.000349185
50	0.015348	0.0136625	0.000343891
51	0.009302	0.013577	0.000347614
52	0.0164	0.0136313	0.000345143
53	0.017406	0.0137025	0.000345901
54	0.012058	0.0136721	0.000340833
55	0.014036	0.0136787	0.0003347
56	0.013028	0.0136671	0.000328925
57	0.015696	0.0137027	0.000325075
58	0.013966	0.0137072	0.000319502
59	0.0105	0.0136528	0.000318677
60	0.013754	0.0136545	0.000313371
61	0.015384	0.0136829	0.000309513
62	0.008404	0.0135977	0.000316015
63	0.013828	0.0136014	0.00031102
64	0.014374	0.0136135	0.000306395
65	0.013364	0.0136096	0.000301705
66	0.015532	0.0136388	0.000298536
67	0.013526	0.0136371	0.000294085
68	0.014732	0.0136532	0.000290201
69	0.013068	0.0136447	0.000286119
70	0.015292	0.0136682	0.000282998
71	0.012796	0.0136559	0.000279278
72	0.01522	0.0136777	0.000276243
73	0.015068	0.0136967	0.000273115
74	0.01133	0.0136647	0.00027129
75	0.011748	0.0136392	0.000268874
76	0.01587	0.0136685	0.000266934
77	0.01314	0.0136617	0.000263555
78	0.012972	0.0136528	0.000260324
79	0.009936	0.0136058	0.000261246
80	0.014696	0.0136194	0.000258336
81	0.013066	0.0136126	0.000255237
82	0.013858	0.0136156	0.000252142
83	0.01359	0.0136153	0.000249104
84	0.013196	0.0136103	0.000246188
85	0.008422	0.0135492	0.000250745
86	0.015408	0.0135708	0.000248759
87	0.006934	0.0134946	0.000257331
88	0.01436	0.0135044	0.000254595
89	0.0079	0.0134414	0.000259405
90	0.011508	0.0134199	0.00025741
91	0.011882	0.013403	0.000255136
92	0.014132	0.013411	0.000252486
93	0.015534	0.0134338	0.000250801
94	0.014898	0.0134494	0.000248616
95	0.013842	0.0134535	0.000246033
96	0.011974	0.0134381	0.000243952
97	0.016736	0.0134721	0.000243795
98	0.014234	0.0134799	0.000241431
99	0.010906	0.0134539	0.000240388
100	0.01231	0.0134424	0.000238257
