#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.005622	0.005622	0
2	0.002644	0.004133	0.00105288
3	-0.00054	0.00257533	0.00145267
4	0.001488	0.0023035	0.00111464
5	-0.00418	0.0010068	0.00146298
6	-0.000518	0.000752667	0.00124102
7	0.002682	0.00102829	0.00109391
8	0.000554	0.000969	0.000958779
9	-0.00089	0.000762444	0.000874215
10	0.003534	0.0010396	0.000829564
11	-0.005406	0.000453636	0.000938552
12	-0.00207	0.000243333	0.000883587
13	0.000724	0.000280308	0.000816392
14	0.005532	0.000655429	0.00083985
15	0.001814	0.000732667	0.000787403
16	0.00411	0.00094375	0.000765961
17	0.003816	0.00111271	0.000739304
18	-0.000184	0.00104067	0.000701733
19	-0.000598	0.000954421	0.000670078
20	0.001312	0.0009723	0.000636813
21	-0.001876	0.000836667	0.000620765
22	-0.002928	0.000665545	0.000615682
23	0.00534	0.000868783	0.000621553
24	0.000822	0.000866833	0.000595658
25	0.00297	0.00095096	0.000577742
26	-0.00072	0.000886692	0.000559084
27	0.001818	0.000921185	0.000539441
28	0.00014	0.000893286	0.000520896
29	-0.002286	0.000783655	0.000514341
30	-0.001572	0.000705133	0.000503155
31	-0.002354	0.000606452	0.000496507
32	0.001036	0.000619875	0.000481172
33	-0.00131	0.000561394	0.000470132
34	-0.000904	0.000518294	0.000458276
35	5.4e-05	0.000505029	0.000445374
36	0.00362	0.000591556	0.000441328
37	0.00156	0.00061773	0.000430175
38	-0.004322	0.000487737	0.000438056
39	0.00038	0.000484974	0.000426832
40	0.001962	0.0005219	0.000417756
41	0.000972	0.000532878	0.000407711
42	-0.000742	0.000502524	0.000399132
43	-0.001166	0.000463721	0.000391731
44	-0.003202	0.000380409	0.000391587
45	0.001794	0.000411822	0.000384143
46	0.0005	0.000413739	0.000375797
47	0.000558	0.000416809	0.000367814
48	0.001682	0.000443167	0.000361094
49	0.001448	0.000463673	0.000354307
50	-0.00253	0.0004038	0.000352243
51	0.002152	0.000438078	0.000347
52	0.001266	0.000454	0.000340692
53	-0.001518	0.000416792	0.00033629
54	0.004178	0.000486444	0.000337198
55	0.001408	0.0005032	0.000331483
56	0.001666	0.000523964	0.000326214
57	0.000242	0.000519018	0.000320528
58	-0.002876	0.000460483	0.000320302
59	-0.004918	0.000369322	0.000327589
60	0.003424	0.000420233	0.000326061
61	0.004356	0.000484754	0.000327037
62	-0.003018	0.000428258	0.000326606
63	-0.000968	0.000406095	0.000322173
64	-0.00175	0.000372406	0.000318896
65	0.002178	0.000400185	0.000315197
66	0.001224	0.000412667	0.000310668
67	-0.00319	0.000358896	0.00031065
68	0.002508	0.0003905	0.000307685
69	0.00098	0.000399043	0.000303345
70	-0.001078	0.000377943	0.000299744
71	-0.000424	0.000366648	0.000295735
72	-0.004298	0.000301861	0.00029864
73	0.000942	0.00031063	0.000294677
74	0.002092	0.000334703	0.000291677
75	0.001622	0.000351867	0.000288292
76	0.001104	0.000361763	0.000284669
77	0.003632	0.000404234	0.000284122
78	-0.003792	0.000350436	0.000285528
79	0.000806	0.000356203	0.000281972
80	0.000706	0.000360575	0.000278481
81	0.000562	0.000363062	0.000275054
82	0.00219	0.000385341	0.0002726
83	-0.002002	0.000356578	0.000270829
84	0.0015	0.00037019	0.000267947
85	0.000352	0.000369976	0.000264795
86	0.002312	0.000392558	0.000262677
87	-0.00334	0.000349655	0.000263138
88	-0.000402	0.000341114	0.000260286
89	0.001574	0.000354966	0.00025773
90	0.00012	0.000352356	0.00025488
91	0.002234	0.000373033	0.000252916
92	-0.000362	0.000365043	0.000250293
93	-0.004958	0.000307806	0.000254062
94	-0.000932	0.000294617	0.000251701
95	-0.001128	0.000279642	0.000249497
96	-0.001182	0.000264417	0.000247362
97	0.002974	0.000292351	0.000246384
98	0.004182	0.000332041	0.000247046
99	-0.000582	0.000322808	0.000244723
100	-0.003588	0.0002837	0.000245381
