#BLOCK:	ACTUAL_CV:	CV_AVE:	ERROR:
1	11.1229	11.1229	0
2	11.1135	11.1182	0.00335123
3	11.0947	11.1104	0.00678632
4	11.1091	11.11	0.00509693
5	11.089	11.1058	0.00555007
6	11.1013	11.1051	0.00467712
7	11.117	11.1068	0.00431012
8	11.1037	11.1064	0.00378839
9	11.0933	11.1049	0.00363759
10	11.116	11.106	0.00343887
11	11.0808	11.1037	0.00381494
12	11.0909	11.1027	0.00364472
13	11.1024	11.1027	0.0033644
14	11.1218	11.104	0.00339035
15	11.1109	11.1045	0.00319485
16	11.115	11.1051	0.00306257
17	11.1156	11.1058	0.00294304
18	11.0965	11.1052	0.00282422
19	11.0979	11.1048	0.00270207
20	11.1045	11.1048	0.00256701
21	11.0982	11.1045	0.00246434
22	11.0937	11.104	0.00240108
23	11.127	11.105	0.00249559
24	11.1075	11.1051	0.0023937
25	11.1103	11.1053	0.0023068
26	11.095	11.1049	0.00225184
27	11.1102	11.1051	0.00217683
28	11.0917	11.1046	0.00215103
29	11.0976	11.1044	0.00209072
30	11.0961	11.1041	0.00203949
31	11.0979	11.1039	0.00198347
32	11.1093	11.1041	0.00192862
33	11.1044	11.1041	0.00187019
34	11.0989	11.104	0.00182134
35	11.1045	11.104	0.00176937
36	11.1127	11.1042	0.0017366
37	11.1155	11.1045	0.00171628
38	11.0808	11.1039	0.00178119
39	11.1034	11.1039	0.00173556
40	11.1159	11.1042	0.00171805
41	11.1082	11.1043	0.0016789
42	11.1057	11.1043	0.00163927
43	11.1011	11.1042	0.00160282
44	11.0911	11.1039	0.00159393
45	11.1085	11.104	0.00156175
46	11.1019	11.104	0.00152847
47	11.1042	11.104	0.00149596
48	11.1086	11.1041	0.00146791
49	11.1079	11.1042	0.00143997
50	11.0852	11.1038	0.00146042
51	11.1117	11.1039	0.00144009
52	11.1077	11.104	0.00141422
53	11.0947	11.1038	0.00139846
54	11.1108	11.104	0.00137845
55	11.1027	11.1039	0.00135358
56	11.1107	11.1041	0.00133475
57	11.0951	11.1039	0.00132053
58	11.0916	11.1037	0.00131475
59	11.0832	11.1034	0.00133756
60	11.1203	11.1036	0.00134477
61	11.1158	11.1038	0.00133738
62	11.0857	11.1035	0.00134743
63	11.1052	11.1036	0.00132629
64	11.0972	11.1035	0.00130926
65	11.1052	11.1035	0.00128938
66	11.1041	11.1035	0.00126988
67	11.0823	11.1032	0.0012897
68	11.1053	11.1032	0.0012711
69	11.1061	11.1033	0.00125338
70	11.0957	11.1032	0.00124006
71	11.1001	11.1031	0.00122334
72	11.0866	11.1029	0.00122776
73	11.1041	11.1029	0.00121106
74	11.1134	11.103	0.00120293
75	11.1062	11.1031	0.00118761
76	11.108	11.1031	0.00117372
77	11.1159	11.1033	0.00117019
78	11.0875	11.1031	0.00117267
79	11.1088	11.1032	0.00116004
80	11.1049	11.1032	0.00114574
81	11.0972	11.1031	0.00113396
82	11.117	11.1033	0.00113274
83	11.0981	11.1032	0.00112082
84	11.1075	11.1033	0.00110864
85	11.1093	11.1034	0.00109784
86	11.109	11.1034	0.001087
87	11.0883	11.1032	0.00108832
88	11.1039	11.1033	0.00107598
89	11.1127	11.1034	0.00106906
90	11.1024	11.1033	0.00105723
91	11.1111	11.1034	0.00104904
92	11.1017	11.1034	0.00103782
93	11.083	11.1032	0.00104951
94	11.1034	11.1032	0.00103835
95	11.1017	11.1032	0.00102754
96	11.0993	11.1031	0.00101763
97	11.1173	11.1033	0.00101763
98	11.1137	11.1034	0.00101278
99	11.1001	11.1034	0.00100311
100	11.0864	11.1032	0.00100726
