#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	0.640623	0.640623	0
2	0.656732	0.648677	0.00569551
3	0.650988	0.649448	0.00384873
4	0.646353	0.648674	0.00296327
5	0.647084	0.648356	0.00238762
6	0.655539	0.649553	0.00227004
7	0.665123	0.651777	0.00283308
8	0.644736	0.650897	0.00261209
9	0.64638	0.650395	0.00236959
10	0.659629	0.651319	0.00230554
11	0.645983	0.650834	0.00214637
12	0.636568	0.649645	0.00227301
13	0.642833	0.649121	0.00215771
14	0.651761	0.649309	0.00201181
15	0.648132	0.649231	0.00187922
16	0.665428	0.650243	0.00201608
17	0.65398	0.650463	0.00190943
18	0.646409	0.650238	0.00181658
19	0.6515	0.650304	0.00172219
20	0.649197	0.650249	0.00163697
21	0.643827	0.649943	0.00158733
22	0.641452	0.649557	0.00156139
23	0.643888	0.649311	0.00151284
24	0.643208	0.649056	0.00147102
25	0.649132	0.649059	0.00141218
26	0.652099	0.649176	0.00136269
27	0.654337	0.649367	0.00132556
28	0.646084	0.64925	0.0012834
29	0.641152	0.648971	0.00126916
30	0.643859	0.648801	0.00123824
31	0.639881	0.648513	0.00123127
32	0.640272	0.648255	0.00121943
33	0.651285	0.648347	0.00118593
34	0.640073	0.648104	0.00117575
35	0.647397	0.648084	0.00114233
36	0.640309	0.647868	0.00113083
37	0.655828	0.648083	0.00112054
38	0.656387	0.648301	0.00111216
39	0.660056	0.648603	0.00112374
40	0.642333	0.648446	0.00110652
41	0.662045	0.648778	0.00112815
42	0.634251	0.648432	0.0011531
43	0.652445	0.648525	0.00113005
44	0.652663	0.648619	0.00110827
45	0.652541	0.648706	0.00108707
46	0.642891	0.64858	0.00107076
47	0.634877	0.648288	0.00108695
48	0.640496	0.648126	0.00107636
49	0.64758	0.648115	0.00105445
50	0.660839	0.648369	0.00106362
51	0.664932	0.648694	0.00109122
52	0.658713	0.648887	0.00108711
53	0.644273	0.6488	0.00107008
54	0.633444	0.648515	0.00108739
55	0.660069	0.648725	0.00108772
56	0.641359	0.648594	0.00107623
57	0.638277	0.648413	0.00107246
58	0.645781	0.648368	0.00105492
59	0.660524	0.648574	0.00105697
60	0.654833	0.648678	0.00104449
61	0.6396	0.648529	0.00103792
62	0.637423	0.64835	0.00103652
63	0.666699	0.648641	0.0010602
64	0.656745	0.648768	0.00105117
65	0.642385	0.64867	0.00103957
66	0.651757	0.648716	0.00102487
67	0.655415	0.648816	0.00101444
68	0.643639	0.64874	0.00100238
69	0.626691	0.648421	0.00103754
70	0.644652	0.648367	0.00102411
71	0.656735	0.648485	0.00101645
72	0.651821	0.648531	0.00100338
73	0.647109	0.648512	0.000989828
74	0.658856	0.648651	0.000986274
75	0.641316	0.648554	0.000977961
76	0.653771	0.648622	0.000967499
77	0.65994	0.648769	0.000966035
78	0.651151	0.6488	0.000954132
79	0.648176	0.648792	0.000942087
80	0.657599	0.648902	0.000936721
81	0.63572	0.648739	0.000939187
82	0.647051	0.648719	0.000927959
83	0.662317	0.648882	0.00093113
84	0.650335	0.6489	0.000920206
85	0.654825	0.648969	0.000912017
86	0.639153	0.648855	0.000908526
87	0.649976	0.648868	0.000898175
88	0.660948	0.649005	0.000898397
89	0.65012	0.649018	0.00088839
90	0.651704	0.649048	0.00087902
91	0.639416	0.648942	0.00087571
92	0.644357	0.648892	0.000867608
93	0.635943	0.648753	0.00086938
94	0.637509	0.648633	0.000868321
95	0.652965	0.648679	0.000860377
96	0.640565	0.648594	0.000855556
97	0.654952	0.64866	0.000849243
98	0.65488	0.648723	0.000842945
99	0.643764	0.648673	0.000835918
100	0.651384	0.6487	0.000827998
