#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.41668	-0.41668	0
2	-0.415189	-0.415935	0.000527406
3	-0.408917	-0.413595	0.00194211
4	-0.416005	-0.414198	0.00154718
5	-0.416451	-0.414648	0.00130171
6	-0.412768	-0.414335	0.00112185
7	-0.413395	-0.414201	0.000969582
8	-0.416766	-0.414521	0.00089987
9	-0.4107	-0.414097	0.000894444
10	-0.409964	-0.413684	0.000895387
11	-0.416864	-0.413973	0.000859403
12	-0.41616	-0.414155	0.000806889
13	-0.414571	-0.414187	0.000745455
14	-0.414322	-0.414197	0.00069227
15	-0.408545	-0.41382	0.000741602
16	-0.417532	-0.414052	0.000730639
17	-0.415583	-0.414142	0.000693188
18	-0.417941	-0.414353	0.000686063
19	-0.409501	-0.414098	0.000695853
20	-0.41148	-0.413967	0.000673258
