#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.064633	0	0
0.129266	0	0
0.193899	0	0
0.258532	0	0
0.323165	0	0
0.387798	0	0
0.452431	0	0
0.517064	0	0
0.581697	0	0
0.64633	0	0
0.710963	0	0
0.775596	0	0
0.84023	0.000404111	0.000393878
0.904863	0.127852	0.0111845
0.969496	1.06693	0.0589506
1.03413	1.95055	0.0990197
1.09876	2.14013	0.122352
1.16339	1.98454	0.109755
1.22803	1.8032	0.093451
1.29266	1.55108	0.0845379
1.35729	1.39208	0.075074
1.42193	1.27537	0.0615933
1.48656	1.2463	0.066757
1.55119	1.15357	0.0643561
1.61583	1.10716	0.0523281
1.68046	1.09501	0.0499121
1.74509	1.11008	0.0556518
1.80973	1.0863	0.0544287
1.87436	1.06793	0.0409182
1.93899	1.09591	0.0484341
2.00362	1.07914	0.0482532
2.06826	1.04893	0.0425286
2.13289	1.0799	0.0402058
2.19752	1.05546	0.0283949
2.26216	1.0528	0.0339539
2.32679	1.02961	0.0297559
2.39142	1.03809	0.0269482
2.45606	1.0323	0.023725
2.52069	1.02613	0.0212137
2.58532	1.01308	0.0217953
2.64995	1.01874	0.0195607
2.71459	1.02186	0.0211236
2.77922	1.01642	0.0248474
2.84385	1.05039	0.0263995
2.90849	1.0502	0.0373246
2.97312	1.05873	0.059303
3.03775	1.08853	0.0858515
3.10239	1.04865	0.0397106
3.16702	1.02828	0.0260607
3.23165	1.00923	0.0220695
3.29629	0.974065	0.0162233
3.36092	0.979321	0.0155649
3.42555	0.968553	0.0147308
3.49018	0.95448	0.0134078
3.55482	0.937376	0.0144381
3.61945	0.941392	0.0140327
3.68408	0.966038	0.016624
3.74872	0.971072	0.0173925
3.81335	0.969862	0.0204005
3.87798	0.962375	0.0177638
3.94262	0.95918	0.0158242
4.00725	0.962413	0.0164384
4.07188	0.973261	0.012822
4.13651	0.965171	0.013647
4.20115	0.956635	0.0117749
4.26578	0.990174	0.0145133
4.33041	0.979624	0.0119363
4.39505	0.95501	0.0105619
4.45968	0.966101	0.0131678
4.52431	0.964307	0.0134702
4.58895	0.964161	0.0144542
4.65358	0.970806	0.0182724
4.71821	0.961217	0.0141132
4.78285	0.955039	0.0129801
4.84748	0.965468	0.0104502
4.91211	0.984258	0.0112597
4.97674	0.992015	0.00979869
5.04138	1.00189	0.0117708
5.10601	1.00813	0.0152849
5.17064	1.02769	0.024238
5.23528	1.05331	0.0580457
5.29991	1.02651	0.0314291
5.36454	1.00691	0.0144095
5.42918	1.00697	0.00777068
5.49381	1.00462	0.00877594
5.55844	0.987855	0.00811503
5.62307	0.99006	0.00852333
5.68771	0.993095	0.00817862
5.75234	0.990604	0.0095414
5.81697	0.996223	0.00835682
5.88161	0.989444	0.00733925
5.94624	0.999646	0.00853356
6.01087	1.00904	0.00783492
6.07551	1.01692	0.0116255
6.14014	1.00345	0.00630066
6.20477	0.994134	0.00839649
6.2694	0.993037	0.0102407
6.33404	0.990941	0.0116405
6.39867	0.991848	0.0107345
