#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.55111	1.55111	0
2	1.74137	1.64624	0.0672694
3	1.82283	1.7051	0.065736
4	1.82859	1.73598	0.0560843
5	1.8264	1.75406	0.0476942
6	1.89537	1.77761	0.0451875
7	1.91577	1.79735	0.0428262
8	1.91799	1.81243	0.0400399
9	1.90263	1.82245	0.0368239
10	1.87497	1.8277	0.0335139
11	1.80395	1.82554	0.0305366
12	1.83075	1.82598	0.027995
13	1.86232	1.82877	0.0259807
14	1.83623	1.8293	0.0241304
15	1.82956	1.82932	0.0225217
16	1.87055	1.8319	0.021261
17	1.85738	1.8334	0.0200632
18	1.79903	1.83149	0.0190392
19	1.83563	1.83171	0.0180384
20	1.86029	1.83314	0.0171929
