#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.117108	-0.117108	0
2	-0.307536	-0.212322	0.0673264
3	-0.389016	-0.27122	0.0657817
4	-0.394751	-0.302103	0.0561194
5	-0.392652	-0.320213	0.0477282
6	-0.461616	-0.34378	0.0452192
7	-0.482082	-0.363537	0.0428588
8	-0.484495	-0.378657	0.0400798
9	-0.469009	-0.388696	0.0368623
10	-0.441245	-0.393951	0.0335485
11	-0.370281	-0.391799	0.0305676
12	-0.397132	-0.392244	0.0280235
13	-0.428666	-0.395045	0.0260076
14	-0.402519	-0.395579	0.0241554
15	-0.3958	-0.395594	0.022545
16	-0.436779	-0.398168	0.0212824
17	-0.423453	-0.399655	0.0200824
18	-0.365107	-0.397736	0.0190582
19	-0.401888	-0.397954	0.0180564
20	-0.426544	-0.399384	0.0172101
