#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0516586	0.0516586	0
2	0.0579659	0.0548123	0.00222996
3	0.060662	0.0567622	0.00217826
4	0.0608766	0.0577908	0.00186077
5	0.0607936	0.0583913	0.00158257
6	0.0630354	0.0591653	0.00149616
7	0.0637201	0.059816	0.00141687
8	0.06381	0.0603153	0.0013248
9	0.0633256	0.0606498	0.0012191
10	0.062392	0.060824	0.00110957
11	0.0600173	0.0607507	0.00101112
12	0.0609467	0.060767	0.00092699
13	0.0619929	0.0608613	0.000860466
14	0.0611023	0.0608785	0.000799177
15	0.0608696	0.0608779	0.000745898
16	0.0622687	0.0609648	0.000704326
17	0.0617765	0.0610126	0.000664512
18	0.0598867	0.06095	0.000630531
19	0.0610827	0.060957	0.000597384
20	0.0619264	0.0610055	0.000569478
