#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.03407	1.03407	0
2	1.16092	1.09749	0.0448463
3	1.21522	1.13674	0.043824
4	1.21906	1.15732	0.0373896
5	1.2176	1.16937	0.0317961
6	1.26358	1.18507	0.030125
7	1.27718	1.19823	0.0285508
8	1.27866	1.20829	0.0266932
9	1.26842	1.21497	0.0245493
10	1.24998	1.21847	0.0223426
11	1.20263	1.21703	0.0203578
12	1.2205	1.21732	0.0186633
13	1.24155	1.21918	0.0173205
14	1.22415	1.21954	0.016087
15	1.21971	1.21955	0.0150145
16	1.24703	1.22127	0.014174
17	1.23826	1.22227	0.0133754
18	1.19935	1.22099	0.0126928
19	1.22376	1.22114	0.0120256
20	1.24019	1.22209	0.011462
