#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.434	1.434	0
2	1.43384	1.43392	5.69761e-05
3	1.43382	1.43388	4.66836e-05
4	1.43384	1.43387	3.64684e-05
5	1.43375	1.43385	3.68469e-05
6	1.43375	1.43383	3.38315e-05
7	1.43369	1.43381	3.45351e-05
8	1.43349	1.43377	4.81755e-05
9	1.43362	1.43375	4.57832e-05
10	1.43372	1.43375	4.1334e-05
11	1.43367	1.43374	3.82341e-05
12	1.43361	1.43373	3.65216e-05
13	1.43365	1.43373	3.42157e-05
14	1.43371	1.43373	3.17871e-05
15	1.43376	1.43373	2.97533e-05
16	1.43377	1.43373	2.80141e-05
17	1.43393	1.43374	2.87397e-05
18	1.43393	1.43375	2.88792e-05
19	1.43375	1.43375	2.73613e-05
20	1.43374	1.43375	2.59979e-05
