#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.064633	0	0
0.129266	0	0
0.193899	0	0
0.258532	0	0
0.323165	0	0
0.387798	0	0
0.452431	0	0
0.517064	0	0
0.581697	0	0
0.64633	0	0
0.710963	0	0
0.775596	0	0
0.84023	0.0049541	0.00135689
0.904863	0.173055	0.0164558
0.969496	0.984164	0.0448548
1.03413	1.65635	0.0800094
1.09876	1.89824	0.115856
1.16339	1.76779	0.0960485
1.22803	1.56479	0.0698655
1.29266	1.53682	0.0762882
1.35729	1.36511	0.0632104
1.42193	1.2201	0.0554981
1.48656	1.15588	0.0565683
1.55119	1.09401	0.0497034
1.61583	1.07522	0.0496484
1.68046	1.04873	0.0439418
1.74509	1.00506	0.0409794
1.80973	1.05611	0.0396984
1.87436	1.06184	0.0369836
1.93899	1.05362	0.038906
2.00362	1.04788	0.0365607
2.06826	1.02532	0.0301603
2.13289	1.04488	0.0343956
2.19752	1.05965	0.0277689
2.26216	1.02986	0.0292688
2.32679	1.0279	0.0258902
2.39142	1.00862	0.021494
2.45606	1.02762	0.0203957
2.52069	1.0204	0.0226583
2.58532	1.01996	0.0169458
2.64995	1.00918	0.0186071
2.71459	1.01749	0.0164875
2.77922	1.01677	0.0209051
2.84385	1.02501	0.0251897
2.90849	1.03027	0.0347714
2.97312	1.04453	0.0564773
3.03775	1.08672	0.0765438
3.10239	1.05466	0.0348138
3.16702	0.990834	0.0250909
3.23165	0.992937	0.0155139
3.29629	0.980278	0.0146847
3.36092	0.986137	0.0108901
3.42555	0.980654	0.0129795
3.49018	0.988646	0.0120323
3.55482	1.00358	0.0148682
3.61945	0.993366	0.0156426
3.68408	0.984269	0.0173009
3.74872	0.981727	0.0174937
3.81335	0.986099	0.0166197
3.87798	0.967857	0.0169868
3.94262	0.960246	0.01613
4.00725	0.982559	0.0183043
4.07188	0.979074	0.0128014
4.13651	0.976509	0.012843
4.20115	0.977971	0.0133563
4.26578	0.996802	0.0143571
4.33041	0.991578	0.0130365
4.39505	0.994327	0.0166792
4.45968	0.990526	0.0121085
4.52431	0.976143	0.0138626
4.58895	0.977148	0.0158573
4.65358	0.968557	0.0133329
4.71821	0.983008	0.0147135
4.78285	0.992345	0.0137479
4.84748	0.992347	0.0134332
4.91211	0.98094	0.00998023
4.97674	0.986956	0.00937643
5.04138	0.994541	0.0116649
5.10601	1.00075	0.0155809
5.17064	1.00395	0.0235496
5.23528	1.04248	0.0527994
5.29991	1.01955	0.0294754
5.36454	1.00931	0.0137241
5.42918	1.00087	0.00755886
5.49381	0.986129	0.00862
5.55844	0.983747	0.00645231
5.62307	0.979394	0.00889332
5.68771	0.985848	0.00929022
5.75234	0.990441	0.00944363
5.81697	0.991074	0.0102108
5.88161	0.990967	0.0103122
5.94624	1.00418	0.0092545
6.01087	0.991531	0.0103749
6.07551	0.999435	0.0115188
6.14014	0.982999	0.00879572
6.20477	0.978998	0.00790797
6.2694	0.976021	0.00954112
6.33404	0.984562	0.0123927
6.39867	0.992116	0.0107141
