#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.89789	1.89789	0
2	2.08336	1.99062	0.0655728
3	2.10546	2.0289	0.053739
4	2.10049	2.0468	0.0431817
5	2.10854	2.05915	0.0362679
6	2.11567	2.06857	0.0314229
7	2.17247	2.08341	0.0302369
8	2.11517	2.08738	0.0267167
9	2.15127	2.09448	0.0246732
10	2.15694	2.10073	0.0229828
11	2.14392	2.10465	0.0212262
12	2.14878	2.10833	0.0197733
13	2.14044	2.1108	0.0184059
14	2.14297	2.1131	0.017234
15	2.1732	2.1171	0.0165443
16	2.18306	2.12123	0.0160156
17	2.18986	2.12526	0.015574
18	2.18529	2.1286	0.0150616
19	2.18266	2.13144	0.0145351
20	2.16992	2.13337	0.0139351
