#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.130554	-0.130554	0
2	-0.316141	-0.223348	0.0656148
3	-0.338265	-0.261654	0.0537745
4	-0.333381	-0.279585	0.0432173
5	-0.341429	-0.291954	0.0363007
6	-0.348688	-0.30141	0.031458
7	-0.405542	-0.316286	0.0302777
8	-0.348162	-0.32027	0.0267539
9	-0.384185	-0.327372	0.0247058
10	-0.389772	-0.333612	0.0230098
11	-0.376746	-0.337533	0.0212495
12	-0.38166	-0.341211	0.0197943
13	-0.373378	-0.343685	0.0184257
14	-0.375827	-0.345981	0.017252
15	-0.406192	-0.349995	0.0165623
16	-0.415934	-0.354116	0.0160317
17	-0.422713	-0.358151	0.0155882
18	-0.418209	-0.361488	0.015075
19	-0.415541	-0.364333	0.0145476
20	-0.402866	-0.366259	0.0139472
