#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0632163	0.0632163	0
2	0.0693768	0.0662966	0.00217804
3	0.070111	0.0675681	0.00178499
4	0.0699389	0.0681608	0.00143377
5	0.0701652	0.0685616	0.00120176
6	0.0704528	0.0688768	0.00104198
7	0.0723601	0.0693744	0.00100494
8	0.070425	0.0695058	0.000887862
9	0.0716021	0.0697387	0.000819194
10	0.0718118	0.069946	0.000763057
11	0.071353	0.0700739	0.000704328
12	0.0715516	0.070197	0.00065631
13	0.071262	0.070279	0.000610916
14	0.0713268	0.0703538	0.000571846
15	0.0723392	0.0704862	0.000548827
16	0.0726677	0.0706225	0.000531192
17	0.0728906	0.0707559	0.000516428
18	0.0727216	0.0708651	0.000499151
19	0.072693	0.0709613	0.000482061
20	0.0722289	0.0710247	0.000462106
