#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.26526	1.26526	0
2	1.38891	1.32708	0.0437152
3	1.40364	1.3526	0.035826
4	1.40033	1.36453	0.0287878
5	1.40569	1.37277	0.0241786
6	1.41045	1.37905	0.0209486
7	1.44831	1.38894	0.0201579
8	1.41012	1.39159	0.0178111
9	1.43418	1.39632	0.0164488
10	1.43796	1.40048	0.0153219
11	1.42928	1.4031	0.0141508
12	1.43252	1.40555	0.0131822
13	1.42696	1.4072	0.0122706
14	1.42865	1.40873	0.0114894
15	1.4488	1.4114	0.0110295
16	1.45538	1.41415	0.0106771
17	1.4599	1.41684	0.0103827
18	1.45686	1.41907	0.0100411
19	1.4551	1.42096	0.00969007
20	1.44661	1.42225	0.00929005
