#BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.76734	1.76734	0
2	1.76722	1.76728	4.20267e-05
3	1.7672	1.76725	3.54492e-05
4	1.76711	1.76722	4.01159e-05
5	1.76711	1.76719	3.71655e-05
6	1.76698	1.76716	4.45007e-05
7	1.76693	1.76713	4.91201e-05
8	1.76701	1.76711	4.49833e-05
9	1.76708	1.76711	4.00864e-05
10	1.76717	1.76711	3.65083e-05
11	1.76717	1.76712	3.35214e-05
12	1.76712	1.76712	3.07285e-05
13	1.76707	1.76712	2.86393e-05
14	1.76714	1.76712	2.6664e-05
15	1.767	1.76711	2.59499e-05
16	1.76713	1.76711	2.43533e-05
17	1.76714	1.76711	2.2997e-05
18	1.76708	1.76711	2.17809e-05
19	1.76712	1.76711	2.06355e-05
20	1.76705	1.76711	1.98141e-05
