#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.76436	1.76436	0
2	1.81514	1.78975	0.0179531
3	1.83999	1.8065	0.0181726
4	1.82521	1.81117	0.0142189
5	1.84647	1.81823	0.0130103
6	1.84914	1.82339	0.011818
7	1.86513	1.82935	0.0115368
8	1.90376	1.83865	0.0133264
9	1.85654	1.84064	0.0119931
10	1.79873	1.83645	0.0115027
11	1.7737	1.83074	0.011787
12	1.81695	1.82959	0.0108607
13	1.82465	1.82921	0.0100319
14	1.86782	1.83197	0.00968688
15	1.8412	1.83259	0.00906062
16	1.81951	1.83177	0.00853112
17	1.83796	1.83213	0.00803705
18	1.82763	1.83188	0.00759444
19	1.85914	1.83332	0.00732901
20	1.83821	1.83356	0.00696664
21	1.82197	1.83301	0.00665674
22	1.82607	1.83269	0.00636163
23	1.87111	1.83437	0.00630049
24	1.84655	1.83487	0.00605838
25	1.91193	1.83796	0.00655338
26	1.87804	1.8395	0.00648015
27	1.85346	1.84001	0.00626075
28	1.80594	1.8388	0.00615429
29	1.83158	1.83855	0.00594711
30	1.81754	1.83785	0.00578996
31	1.82044	1.83729	0.00563036
32	1.80252	1.8362	0.00555825
33	1.85537	1.83678	0.00542009
34	1.81409	1.83611	0.0053016
35	1.87234	1.83715	0.00525021
36	1.83491	1.83709	0.00510474
37	1.8341	1.83701	0.00496741
38	1.8623	1.83767	0.00488108
39	1.89073	1.83903	0.00494192
40	1.84825	1.83926	0.00482374
41	1.87147	1.84005	0.00476962
42	1.78599	1.83876	0.00482658
43	1.78313	1.83747	0.00488465
44	1.84423	1.83762	0.00477605
45	1.8668	1.83827	0.00471373
46	1.84809	1.83848	0.00461609
47	1.85036	1.83874	0.00452478
48	1.9357	1.84076	0.0048606
49	1.85613	1.84107	0.00477153
50	1.87005	1.84165	0.00471116
51	1.89735	1.84274	0.0047437
52	1.87297	1.84332	0.00468795
53	1.8261	1.843	0.00461075
54	1.78948	1.84201	0.00463065
55	1.82372	1.84167	0.00455838
56	1.77965	1.84057	0.00460958
57	1.82698	1.84033	0.00453487
58	1.81552	1.8399	0.00447682
59	1.84696	1.84002	0.00440254
60	1.83679	1.83997	0.00432949
61	1.89144	1.84081	0.00433998
62	1.87217	1.84132	0.00429936
63	1.85569	1.84154	0.00423717
64	1.80923	1.84104	0.00420095
65	1.83316	1.84092	0.00413807
66	1.81204	1.84048	0.00409843
67	1.86846	1.8409	0.00405848
68	1.81944	1.84058	0.00401104
69	1.88286	1.84119	0.00399943
70	1.8442	1.84124	0.00394253
71	1.82875	1.84106	0.00389092
72	1.7813	1.84023	0.00392442
73	1.77776	1.83938	0.00396286
74	1.84146	1.8394	0.00390941
75	1.89049	1.84009	0.00391617
76	1.88048	1.84062	0.00390054
77	1.92127	1.84166	0.00398806
78	1.88814	1.84226	0.00398119
79	1.85639	1.84244	0.00393482
80	1.85969	1.84265	0.00389154
81	1.87427	1.84305	0.00386302
82	1.83589	1.84296	0.00381689
83	1.833	1.84284	0.00377279
84	1.80916	1.84244	0.00374913
85	1.80955	1.84205	0.00372493
86	1.77649	1.84129	0.00375881
87	1.82536	1.8411	0.00372006
88	1.82191	1.84089	0.00368417
89	1.8217	1.84067	0.00364908
90	1.8169	1.84041	0.00361808
91	1.89608	1.84102	0.00362968
92	1.92105	1.84189	0.00369301
93	1.95449	1.8431	0.00384665
94	1.86755	1.84336	0.00381451
95	1.86187	1.84355	0.00377933
96	1.77109	1.8428	0.00381461
97	1.78859	1.84224	0.003816
98	1.8198	1.84201	0.00378393
99	1.83931	1.84198	0.00374581
100	1.82935	1.84186	0.00371048
