#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.33045	-0.33045	0
2	-0.381301	-0.355876	0.0179788
3	-0.40623	-0.37266	0.0182065
4	-0.391332	-0.377328	0.0142407
5	-0.412584	-0.384379	0.0130217
6	-0.415362	-0.389543	0.0118311
7	-0.431376	-0.395519	0.0115521
8	-0.469991	-0.404828	0.0133416
9	-0.422687	-0.406813	0.0120059
10	-0.364858	-0.402617	0.011515
11	-0.339929	-0.396918	0.0117944
12	-0.383087	-0.395766	0.0108677
13	-0.390817	-0.395385	0.0100384
14	-0.434048	-0.398147	0.00969383
15	-0.407342	-0.39876	0.00906693
16	-0.385633	-0.397939	0.00853729
17	-0.404263	-0.398311	0.00804319
18	-0.393841	-0.398063	0.00760018
19	-0.425352	-0.399499	0.00733463
20	-0.404407	-0.399744	0.006972
21	-0.388082	-0.399189	0.00666209
22	-0.392226	-0.398873	0.00636678
23	-0.437248	-0.400541	0.00630479
24	-0.412831	-0.401053	0.00606285
25	-0.478287	-0.404143	0.00656039
26	-0.444329	-0.405688	0.00648758
27	-0.41975	-0.406209	0.00626817
28	-0.372247	-0.404996	0.00616054
29	-0.397827	-0.404749	0.00595307
30	-0.383745	-0.404049	0.00579566
31	-0.386533	-0.403484	0.00563617
32	-0.368695	-0.402397	0.0055639
33	-0.421581	-0.402978	0.00542559
34	-0.380256	-0.40231	0.00530701
35	-0.438593	-0.403346	0.00525566
36	-0.401059	-0.403283	0.00511005
37	-0.400257	-0.403201	0.0049726
38	-0.428469	-0.403866	0.00488599
39	-0.456935	-0.405227	0.00494657
40	-0.414424	-0.405457	0.00482825
41	-0.437597	-0.406241	0.0047737
42	-0.352098	-0.404951	0.00483096
43	-0.349264	-0.403656	0.00488912
44	-0.410418	-0.40381	0.00478042
45	-0.432928	-0.404457	0.00471778
46	-0.414254	-0.40467	0.00462002
47	-0.416617	-0.404924	0.00452871
48	-0.501959	-0.406946	0.00486468
49	-0.422353	-0.40726	0.00477555
50	-0.436264	-0.40784	0.00471514
51	-0.463651	-0.408935	0.00474798
52	-0.439269	-0.409518	0.00469237
53	-0.392337	-0.409194	0.00461502
54	-0.35567	-0.408203	0.00463478
55	-0.389953	-0.407871	0.00456237
56	-0.345766	-0.406762	0.00461372
57	-0.393191	-0.406524	0.00453892
58	-0.381768	-0.406097	0.00448068
59	-0.413239	-0.406218	0.00440637
60	-0.403087	-0.406166	0.00433324
61	-0.457733	-0.407011	0.00434388
62	-0.438522	-0.407519	0.00430345
63	-0.421952	-0.407748	0.00424124
64	-0.375433	-0.407244	0.00420491
65	-0.399359	-0.407122	0.00414197
66	-0.378238	-0.406685	0.00410227
67	-0.434715	-0.407103	0.00406232
68	-0.385573	-0.406786	0.0040149
69	-0.449264	-0.407402	0.00400363
70	-0.410404	-0.407445	0.00394667
71	-0.394951	-0.407269	0.003895
72	-0.347484	-0.406439	0.00392842
73	-0.343975	-0.405583	0.0039667
74	-0.407681	-0.405611	0.00391319
75	-0.456647	-0.406292	0.00391974
76	-0.446697	-0.406823	0.00390405
77	-0.487772	-0.407875	0.00399238
78	-0.454539	-0.408473	0.00398577
79	-0.422644	-0.408652	0.00393935
80	-0.425919	-0.408868	0.00389602
81	-0.440409	-0.409258	0.00386733
82	-0.402137	-0.409171	0.00382114
83	-0.399284	-0.409052	0.00377696
84	-0.375394	-0.408651	0.00375319
85	-0.375761	-0.408264	0.00372893
86	-0.342667	-0.407501	0.00376277
87	-0.391531	-0.407318	0.00372399
88	-0.388189	-0.4071	0.00368801
89	-0.387817	-0.406884	0.00365294
90	-0.38314	-0.40662	0.00362186
91	-0.462333	-0.407232	0.00363344
92	-0.487452	-0.408104	0.00369709
93	-0.520946	-0.409317	0.0038513
94	-0.433776	-0.409578	0.00381911
95	-0.428045	-0.409772	0.00378385
96	-0.337288	-0.409017	0.00381902
97	-0.354753	-0.408457	0.0038204
98	-0.386079	-0.408229	0.00378824
99	-0.405486	-0.408201	0.00375008
100	-0.395488	-0.408074	0.00371473
