#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0587317	0.0587317	0
2	0.0604075	0.0595696	0.000592461
3	0.061231	0.0601234	0.000600389
4	0.0607384	0.0602771	0.000469567
5	0.0614523	0.0605122	0.000430474
6	0.0615284	0.0606815	0.000390629
7	0.0620721	0.0608802	0.000382013
8	0.0633686	0.0611912	0.000443155
9	0.0617819	0.0612569	0.000398745
10	0.0598913	0.0611203	0.000381537
11	0.0590519	0.0609323	0.00039045
12	0.0604719	0.0608939	0.000359793
13	0.0607327	0.0608815	0.00033233
14	0.0621649	0.0609732	0.000320985
15	0.0612582	0.0609922	0.000300148
16	0.0605554	0.0609649	0.000282628
17	0.0611905	0.0609782	0.000266314
18	0.0608455	0.0609708	0.000251621
19	0.061882	0.0610187	0.000242906
20	0.0611501	0.0610253	0.000230849
21	0.0606475	0.0610073	0.000220556
22	0.0607942	0.0609976	0.000210743
23	0.0622634	0.0610527	0.000208643
24	0.0614307	0.0610684	0.000200543
25	0.0636227	0.0611706	0.000216993
26	0.062504	0.0612219	0.000214621
27	0.0616869	0.0612391	0.000207363
28	0.0601007	0.0611984	0.000203903
29	0.0609508	0.0611899	0.000197051
30	0.0604916	0.0611666	0.000191852
31	0.0605751	0.0611475	0.00018661
32	0.0599935	0.0611115	0.00018423
33	0.0617425	0.0611306	0.000179637
34	0.0603756	0.0611084	0.000175721
35	0.062309	0.0611427	0.000174016
36	0.0610671	0.0611406	0.000169195
37	0.0610415	0.0611379	0.000164644
38	0.0619813	0.0611601	0.0001618
39	0.0628963	0.0612046	0.000163661
40	0.0615174	0.0612125	0.000159756
41	0.062272	0.0612383	0.000157936
42	0.0594472	0.0611956	0.000159829
43	0.0593688	0.0611532	0.00016166
44	0.0613919	0.0611586	0.000158077
45	0.062134	0.0611803	0.000156043
46	0.0614892	0.061187	0.000152795
47	0.0615916	0.0611956	0.000149787
48	0.0644212	0.0612628	0.000161036
49	0.061765	0.061273	0.000158076
50	0.0622416	0.0612924	0.000156096
51	0.0631311	0.0613285	0.000157144
52	0.0623249	0.0613476	0.000155286
53	0.0607711	0.0613367	0.000152737
54	0.0595487	0.0613036	0.000153455
55	0.0607059	0.0612928	0.00015105
56	0.0592394	0.0612561	0.000152738
57	0.0607911	0.0612479	0.000150276
58	0.0604272	0.0612338	0.00014835
59	0.0614715	0.0612378	0.00014589
60	0.0611356	0.0612361	0.000143469
61	0.0629403	0.0612641	0.000143811
62	0.0623122	0.061281	0.000142482
63	0.0617467	0.0612884	0.000140412
64	0.0601997	0.0612713	0.000139244
65	0.0610195	0.0612675	0.000137156
66	0.0603019	0.0612528	0.000135856
67	0.0621624	0.0612664	0.000134505
68	0.0605572	0.061256	0.000132931
69	0.0626609	0.0612763	0.000132554
70	0.0613633	0.0612776	0.000130667
71	0.0608445	0.0612715	0.000128968
72	0.0593034	0.0612442	0.000130042
73	0.0591502	0.0612155	0.000131386
74	0.0612787	0.0612163	0.000129613
75	0.062894	0.0612387	0.000129801
76	0.0625884	0.0612565	0.000129302
77	0.0639254	0.0612911	0.000132187
78	0.0628192	0.0613107	0.000131936
79	0.0617606	0.0613164	0.000130389
80	0.0618993	0.0613237	0.000128962
81	0.0623806	0.0613367	0.000128028
82	0.0611012	0.0613339	0.000126499
83	0.0610164	0.06133	0.000125033
84	0.0602195	0.0613168	0.000124242
85	0.0602176	0.0613039	0.000123451
86	0.0591098	0.0612784	0.000124624
87	0.0607458	0.0612722	0.000123342
88	0.0606426	0.0612651	0.000122147
89	0.060621	0.0612579	0.000120989
90	0.0604704	0.0612491	0.000119961
91	0.0631002	0.0612695	0.000120355
92	0.063911	0.0612982	0.000122424
93	0.0650633	0.0613386	0.000127626
94	0.0621337	0.0613471	0.000126548
95	0.0619586	0.0613535	0.00012538
96	0.0589387	0.0613284	0.000126572
97	0.059526	0.0613098	0.000126624
98	0.0605472	0.061302	0.00012557
99	0.0612152	0.0613011	0.000124305
100	0.0608876	0.061297	0.000123131
