#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.17624	1.17624	0
2	1.21009	1.19317	0.0119687
3	1.22666	1.20433	0.012115
4	1.21681	1.20745	0.00947929
5	1.23098	1.21216	0.00867356
6	1.23276	1.21559	0.00787865
7	1.24342	1.21957	0.0076912
8	1.26917	1.22577	0.0088843
9	1.2377	1.22709	0.00799541
10	1.19915	1.2243	0.00766845
11	1.18246	1.2205	0.007858
12	1.2113	1.21973	0.00724045
13	1.21643	1.21948	0.00668794
14	1.24521	1.22131	0.00645792
15	1.22747	1.22172	0.00604041
16	1.21301	1.22118	0.00568741
17	1.22531	1.22142	0.00535804
18	1.21842	1.22126	0.00506296
19	1.23943	1.22221	0.004886
20	1.22547	1.22237	0.00464443
21	1.21464	1.22201	0.00443783
22	1.21738	1.2218	0.00424109
23	1.24741	1.22291	0.00420033
24	1.23103	1.22325	0.00403892
25	1.27462	1.2253	0.00436892
26	1.25203	1.22633	0.0043201
27	1.23564	1.22668	0.00417383
28	1.20396	1.22586	0.00410286
29	1.22105	1.2257	0.00396474
30	1.21169	1.22523	0.00385997
31	1.21362	1.22486	0.00375357
32	1.20168	1.22413	0.0037055
33	1.23691	1.22452	0.00361339
34	1.20939	1.22408	0.0035344
35	1.24823	1.22477	0.00350014
36	1.22327	1.22472	0.00340316
37	1.22273	1.22467	0.00331161
38	1.24153	1.22511	0.00325405
39	1.26049	1.22602	0.00329461
40	1.23217	1.22617	0.00321583
41	1.24765	1.2267	0.00317975
42	1.19066	1.22584	0.00321772
43	1.18875	1.22498	0.00325643
44	1.22949	1.22508	0.00318403
45	1.24453	1.22551	0.00314248
46	1.23206	1.22566	0.00307739
47	1.23357	1.22582	0.00301652
48	1.29047	1.22717	0.0032404
49	1.23742	1.22738	0.00318102
50	1.2467	1.22777	0.00314078
51	1.2649	1.22849	0.00316246
52	1.24864	1.22888	0.0031253
53	1.2174	1.22866	0.00307383
54	1.19299	1.228	0.0030871
55	1.21581	1.22778	0.00303892
56	1.18643	1.22704	0.00307306
57	1.21798	1.22689	0.00302325
58	1.21034	1.2266	0.00298455
59	1.2313	1.22668	0.00293503
60	1.22453	1.22664	0.00288633
61	1.26096	1.22721	0.00289332
62	1.24812	1.22754	0.00286624
63	1.23713	1.2277	0.00282478
64	1.20615	1.22736	0.00280063
65	1.2221	1.22728	0.00275871
66	1.20803	1.22699	0.00273229
67	1.24564	1.22726	0.00270565
68	1.21296	1.22705	0.00267403
69	1.25524	1.22746	0.00266629
70	1.22947	1.22749	0.00262835
71	1.21917	1.22737	0.00259395
72	1.18753	1.22682	0.00261628
73	1.18517	1.22625	0.00264191
74	1.22764	1.22627	0.00260627
75	1.26033	1.22672	0.00261078
76	1.25365	1.22708	0.00260036
77	1.28085	1.22778	0.0026587
78	1.25876	1.22817	0.00265413
79	1.2376	1.22829	0.00262321
80	1.23979	1.22844	0.00259436
81	1.24951	1.2287	0.00257535
82	1.22393	1.22864	0.0025446
83	1.222	1.22856	0.0025152
84	1.2061	1.22829	0.00249942
85	1.20637	1.22803	0.00248329
86	1.18433	1.22753	0.00250587
87	1.21691	1.2274	0.00248004
88	1.21461	1.22726	0.00245612
89	1.21447	1.22711	0.00243272
90	1.21127	1.22694	0.00241205
91	1.26406	1.22735	0.00241979
92	1.2807	1.22793	0.002462
93	1.30299	1.22873	0.00256443
94	1.24503	1.22891	0.00254301
95	1.24125	1.22904	0.00251956
96	1.18072	1.22853	0.00254307
97	1.19239	1.22816	0.002544
98	1.2132	1.22801	0.00252262
99	1.22621	1.22799	0.00249721
100	1.21956	1.22791	0.00247365
